epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches
1,2.907948,1.810076,0.1001,0.0000,0.00029205,0.222881,0.234447,0
2,0.928531,0.427425,58.6587,58.2583,0.00054453,0.227547,0.244519,0
3,0.498666,0.330486,64.6647,64.3644,0.00079787,0.228543,0.243339,0
4,0.431033,0.290769,69.0691,68.5686,0.00079943,0.230472,0.246855,0
5,0.392855,0.267552,70.8709,70.4705,0.00079771,0.225934,0.246132,0
6,0.358062,0.246693,72.8729,72.6727,0.00079486,0.222853,0.247509,0
7,0.340070,0.237406,73.7738,73.6737,0.00079086,0.220052,0.246811,0
8,0.319977,0.233157,74.5746,74.5746,0.00078573,0.217711,0.248499,0
9,0.307680,0.221249,74.9750,74.8749,0.00077949,0.216607,0.249940,0
10,0.286898,0.210710,75.0751,74.9750,0.00077217,0.212503,0.248821,0
11,0.280227,0.202847,75.4755,75.4755,0.00076378,0.211812,0.248989,0
12,0.262080,0.202917,76.7768,76.6767,0.00075433,0.208244,0.247735,0
13,0.255076,0.198256,77.8779,77.7778,0.00074390,0.208284,0.247948,0
14,0.243736,0.190076,78.3784,78.2783,0.00073248,0.206968,0.248387,0
15,0.232126,0.188688,78.5786,78.4785,0.00072009,0.204743,0.247475,0
16,0.224328,0.187182,77.8779,77.7778,0.00070679,0.204154,0.248499,0
17,0.218862,0.185731,78.2783,78.1782,0.00069262,0.203973,0.249578,0
18,0.211296,0.188265,78.4785,78.4785,0.00067765,0.202511,0.248874,0
19,0.206404,0.192625,78.9790,78.9790,0.00066187,0.201712,0.247610,0
20,0.198120,0.196043,78.8789,78.7788,0.00064536,0.199715,0.246944,0
21,0.191155,0.199741,78.3784,78.3784,0.00062819,0.199853,0.247353,0
22,0.187202,0.200924,78.7788,78.6787,0.00061037,0.198498,0.246334,0
23,0.178694,0.201936,78.5786,78.4785,0.00059196,0.198679,0.247183,0
24,0.172919,0.201707,79.1792,79.0791,0.00057303,0.197272,0.247067,0
25,0.167931,0.204552,79.3794,79.3794,0.00055370,0.196098,0.246083,0
26,0.164301,0.206921,78.3784,78.4785,0.00053391,0.196313,0.247136,0
27,0.158756,0.207675,78.7788,78.6787,0.00051376,0.196570,0.247837,0
28,0.156375,0.207956,78.1782,78.1782,0.00049333,0.197055,0.249166,0
29,0.151759,0.212038,77.6777,77.5776,0.00047268,0.197064,0.250210,0
30,0.147769,0.218335,78.6787,78.6787,0.00045187,0.195964,0.250193,0
31,0.145183,0.217230,79.1792,79.1792,0.00043096,0.196783,0.251963,0
32,0.141169,0.219453,78.5786,78.5786,0.00041002,0.195682,0.251590,0
33,0.138546,0.221805,78.6787,78.6787,0.00038915,0.195319,0.251451,0
34,0.134213,0.225216,78.7788,78.6787,0.00036833,0.194481,0.250923,0
35,0.134111,0.227873,78.7788,78.6787,0.00034767,0.194198,0.250374,0
36,0.130601,0.233975,78.6787,78.6787,0.00032723,0.193232,0.250102,0
37,0.129177,0.239443,79.2793,79.2793,0.00030707,0.193422,0.250271,0
38,0.127869,0.245907,79.4795,79.3794,0.00028725,0.193804,0.252306,0
39,0.125774,0.250605,79.1792,79.1792,0.00026787,0.193842,0.252145,0
40,0.124468,0.257095,78.2783,78.2783,0.00024892,0.194337,0.252755,0
41,0.123467,0.257204,78.5786,78.4785,0.00023049,0.194701,0.252797,0
42,0.122444,0.265073,78.2783,78.2783,0.00021263,0.194914,0.253607,0
43,0.119885,0.266511,78.2783,78.1782,0.00019543,0.194205,0.253259,0
44,0.118678,0.272447,77.1772,77.0771,0.00017892,0.193632,0.252571,0
45,0.116698,0.274478,77.9780,77.8779,0.00016310,0.192873,0.252385,0
46,0.115769,0.279399,77.0771,77.0771,0.00014807,0.192959,0.252978,0
47,0.115407,0.280272,77.2773,77.2773,0.00013386,0.193211,0.253780,0
48,0.114592,0.285831,77.7778,77.7778,0.00012052,0.193989,0.254565,0
49,0.115917,0.286419,77.7778,77.7778,0.00010809,0.194897,0.255784,0
50,0.114889,0.290012,77.6777,77.6777,0.00009660,0.194566,0.256136,0
51,0.114836,0.290841,77.6777,77.6777,0.00008610,0.194691,0.255852,0
52,0.114698,0.290480,77.9780,77.9780,0.00007663,0.195486,0.256997,0
53,0.113204,0.291365,78.3784,78.3784,0.00006818,0.195123,0.256885,0
54,0.113316,0.289934,77.9780,77.9780,0.00006081,0.194624,0.256445,0
55,0.113138,0.290719,77.1772,77.1772,0.00005453,0.194709,0.256789,0
56,0.112410,0.292536,77.5776,77.5776,0.00004935,0.194924,0.256971,0
