epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches
1,2.481597,1.031294,23.1231,12.5125,0.00029163,0.410031,0.414441,0
2,0.607185,0.399245,60.6607,59.2593,0.00054496,0.414278,0.420596,0
3,0.428139,0.329302,66.2663,65.8659,0.00079829,0.411511,0.416352,0
4,0.357909,0.273973,70.3704,70.2703,0.00079943,0.407206,0.412811,0
5,0.308923,0.260909,72.1722,71.9720,0.00079771,0.403063,0.410543,0
6,0.285636,0.242612,73.8739,73.5736,0.00079486,0.399502,0.408111,0
7,0.258240,0.231462,73.7738,73.4735,0.00079086,0.397477,0.409129,0
8,0.239020,0.221746,75.8759,75.6757,0.00078573,0.394108,0.408104,0
9,0.223392,0.214842,76.3764,76.3764,0.00077949,0.392540,0.409360,0
10,0.210155,0.206798,76.7768,76.6767,0.00077216,0.391295,0.408616,0
11,0.203290,0.201141,76.1762,76.0761,0.00076376,0.390340,0.409336,0
12,0.191126,0.198562,76.8769,76.7768,0.00075432,0.387005,0.407010,0
13,0.181370,0.196579,77.5776,77.5776,0.00074386,0.386543,0.409301,0
14,0.178394,0.193023,78.0781,77.9780,0.00073242,0.385171,0.408040,0
15,0.172445,0.188598,78.7788,78.7788,0.00072005,0.384872,0.408148,0
16,0.160862,0.188187,78.1782,78.1782,0.00070677,0.383083,0.408897,0
17,0.151554,0.186117,78.4785,78.4785,0.00069260,0.381945,0.411050,0
18,0.145608,0.185773,78.9790,78.8789,0.00067760,0.380514,0.410530,0
19,0.138821,0.182239,78.4785,78.3784,0.00066182,0.379080,0.410472,0
20,0.133071,0.184470,79.1792,79.1792,0.00064531,0.377556,0.409481,0
21,0.123343,0.186242,79.4795,79.4795,0.00062811,0.375655,0.408875,0
22,0.118312,0.185591,79.5796,79.5796,0.00061027,0.372948,0.407756,0
23,0.115616,0.187898,79.2793,79.0791,0.00059190,0.372357,0.406935,0
24,0.110070,0.187519,80.2803,80.0801,0.00057297,0.370114,0.407895,0
25,0.102117,0.188856,80.5806,80.3804,0.00055357,0.369198,0.409034,0
26,0.099947,0.197406,78.1782,78.0781,0.00053377,0.368934,0.410447,0
27,0.094099,0.200053,78.3784,78.3784,0.00051366,0.366668,0.409506,0
28,0.089246,0.204325,78.9790,78.9790,0.00049323,0.367791,0.411252,0
29,0.083667,0.207864,78.8789,78.6787,0.00047258,0.367504,0.412174,0
30,0.081787,0.211169,78.8789,78.7788,0.00045177,0.365799,0.412404,0
31,0.079657,0.211440,78.9790,78.9790,0.00043093,0.365036,0.410617,0
32,0.074512,0.213844,79.2793,79.1792,0.00040999,0.364569,0.412547,0
33,0.072846,0.218223,79.5796,79.6797,0.00038908,0.363450,0.411989,0
34,0.071003,0.218830,79.1792,78.9790,0.00036826,0.362344,0.411497,0
35,0.067270,0.226612,79.4795,79.3794,0.00034760,0.361223,0.411553,0
36,0.063535,0.226256,79.3794,79.1792,0.00032716,0.359747,0.410869,0
37,0.060887,0.233198,79.9800,79.8799,0.00030700,0.358631,0.410125,0
38,0.058913,0.233363,79.8799,79.6797,0.00028722,0.357336,0.410069,0
39,0.056362,0.238145,79.8799,79.8799,0.00026781,0.355856,0.410467,0
40,0.056040,0.241773,79.5796,79.4795,0.00024889,0.355894,0.411050,0
41,0.054295,0.243085,78.9790,78.8789,0.00023046,0.355365,0.410409,0
42,0.052243,0.242058,79.0791,79.0791,0.00021260,0.354703,0.410313,0
43,0.051870,0.249294,79.1792,79.1792,0.00019538,0.355289,0.410986,0
