epoch,train_loss,val_loss,val_acc,lr,sr_loss,nan_batches
5,0.344021,0.387531,61.5616,0.00079771,0.839340,0
epoch,train_loss,val_loss,val_acc,lr,sr_loss,nan_batches
1,2.885572,2.037226,0.0000,0.00029248,0.773369,0
2,1.204246,0.767632,31.8318,0.00054581,0.792875,0
3,0.565880,0.512182,49.1491,0.00079915,0.899085,0
4,0.406842,0.433432,54.5546,0.00079943,0.821846,0
5,0.341857,0.375060,62.6627,0.00079771,0.848817,0
6,0.308081,0.406676,59.4595,0.00079483,0.733531,0
7,0.283540,0.333321,66.3664,0.00079083,0.846609,0
8,0.265568,0.348121,65.6657,0.00078569,0.787417,0
9,0.253532,0.335669,65.1652,0.00077946,0.716653,0
10,0.240549,0.306042,68.2683,0.00077213,0.818254,0
11,0.227037,0.319843,69.4695,0.00076373,0.824533,0
12,0.217659,0.317497,66.1662,0.00075428,0.796742,0
13,0.208068,0.293633,71.3714,0.00074382,0.827090,0
14,0.199943,0.312022,68.1682,0.00073238,0.746027,0
15,0.193680,0.277336,73.1732,0.00072000,0.735707,0
16,0.184566,0.286524,70.0701,0.00070670,0.830128,0
17,0.179452,0.313878,68.3684,0.00069252,0.854205,0
18,0.173238,0.329345,66.5666,0.00067755,0.702364,0
19,0.164941,0.309930,70.8709,0.00066177,0.767772,0
20,0.158376,0.280960,72.6727,0.00064525,0.743297,0
21,0.150860,0.306197,70.7708,0.00062805,0.736108,0
22,0.145656,0.300090,73.3734,0.00061021,0.613391,0
23,0.141835,0.284068,73.9740,0.00059180,0.803671,0
24,0.137503,0.330512,70.3704,0.00057287,0.782371,0
25,0.132823,0.303190,72.4725,0.00055347,0.692039,0
26,0.127386,0.317675,72.4725,0.00053370,0.804492,0
27,0.125686,0.310802,73.7738,0.00051356,0.816323,0
28,0.120907,0.314550,72.8729,0.00049316,0.748556,0
29,0.116223,0.317455,73.0731,0.00047251,0.673372,0
30,0.114372,0.346497,73.8739,0.00045170,0.796151,0
31,0.109559,0.342878,73.2733,0.00043079,0.743764,0
32,0.107635,0.328542,74.5746,0.00040985,0.744664,0
33,0.104715,0.343896,74.6747,0.00038894,0.652333,0
34,0.101926,0.348351,73.9740,0.00036812,0.789115,0
35,0.098463,0.322634,75.2753,0.00034746,0.687852,0
36,0.095794,0.353197,74.6747,0.00032706,0.713792,0
37,0.093943,0.342982,75.2753,0.00030690,0.616004,0
38,0.092664,0.342528,75.4755,0.00028709,0.743944,0
39,0.090574,0.379381,75.1752,0.00026768,0.690822,0
40,0.090308,0.388619,74.8749,0.00024876,0.652652,0
41,0.087715,0.377680,75.1752,0.00023034,0.746771,0
42,0.086192,0.365279,74.6747,0.00021248,0.701819,0
43,0.085440,0.357002,75.4755,0.00019529,0.694603,0
44,0.084613,0.357026,75.6757,0.00017875,0.728935,0
45,0.081884,0.361789,76.2763,0.00016294,0.699974,0
46,0.082135,0.368051,75.9760,0.00014792,0.697763,0
47,0.079614,0.357215,76.2763,0.00013372,0.690736,0
48,0.079597,0.372139,77.0771,0.00012039,0.707919,0
49,0.079493,0.380785,76.3764,0.00010797,0.734408,0
50,0.078096,0.370901,77.0771,0.00009649,0.653878,0
51,0.078674,0.374841,76.8769,0.00008602,0.735632,0
52,0.076601,0.388302,76.1762,0.00007654,0.633019,0
53,0.076260,0.380916,76.7768,0.00006810,0.690004,0
54,0.076258,0.383671,76.8769,0.00006074,0.660444,0
55,0.075614,0.386228,75.6757,0.00005447,0.740227,0
56,0.075742,0.378081,76.4765,0.00004931,0.615632,0
57,0.075413,0.380375,77.1772,0.00004526,0.609679,0
58,0.075003,0.384415,76.8769,0.00004236,0.742782,0
59,0.074742,0.384591,76.2763,0.00004061,0.639554,0
60,0.074766,0.385620,76.1762,0.00004000,0.675708,0
