epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches
1,2.419525,1.000219,26.3263,18.8188,0.00029205,0.249659,0.256922,0
2,0.607045,0.403238,60.3604,59.0591,0.00054496,0.258883,0.269052,0
3,0.411348,0.328808,67.3674,66.9670,0.00079829,0.254740,0.262329,0
4,0.336938,0.284163,69.8699,69.6697,0.00079943,0.249697,0.254598,0
5,0.297888,0.262582,71.6717,71.5716,0.00079771,0.247166,0.252307,0
6,0.261794,0.244316,74.0741,73.7738,0.00079485,0.245035,0.252303,0
7,0.239919,0.246209,74.0741,73.8739,0.00079085,0.244212,0.251115,0
8,0.221555,0.231123,75.3754,75.3754,0.00078572,0.242482,0.251082,0
9,0.212754,0.218093,75.5756,75.4755,0.00077948,0.240973,0.248332,0
10,0.193885,0.216047,77.2773,77.1772,0.00077216,0.241033,0.249521,0
11,0.183710,0.207995,77.6777,77.5776,0.00076376,0.240612,0.251397,0
12,0.174863,0.201982,78.7788,78.6787,0.00075433,0.240388,0.251593,0
13,0.173468,0.203691,78.5786,78.4785,0.00074388,0.240663,0.251790,0
14,0.161672,0.202181,77.4775,77.3774,0.00073246,0.240036,0.251009,0
15,0.150647,0.198194,77.1772,77.0771,0.00072007,0.240562,0.252293,0
16,0.143777,0.195477,77.9780,77.7778,0.00070677,0.238336,0.250130,0
17,0.136977,0.197659,78.5786,78.4785,0.00069260,0.237853,0.250427,0
18,0.132526,0.195227,78.2783,78.0781,0.00067760,0.239372,0.252131,0
19,0.122725,0.193899,78.0781,77.9780,0.00066182,0.238551,0.252479,0
20,0.117012,0.191991,78.6787,78.4785,0.00064531,0.238145,0.252402,0
21,0.109770,0.191026,78.2783,78.1782,0.00062814,0.235234,0.251785,0
22,0.104577,0.195081,78.8789,78.5786,0.00061031,0.235266,0.251324,0
23,0.100057,0.195449,78.7788,78.6787,0.00059190,0.236244,0.252684,0
24,0.094042,0.198351,79.0791,78.9790,0.00057297,0.234970,0.253113,0
25,0.088872,0.204113,78.9790,78.7788,0.00055357,0.235015,0.253878,0
26,0.083659,0.202486,78.7788,78.6787,0.00053381,0.234203,0.254940,0
27,0.079098,0.204242,79.2793,79.0791,0.00051366,0.232581,0.255378,0
28,0.077217,0.210131,78.8789,78.5786,0.00049323,0.233859,0.256663,0
29,0.073508,0.213445,79.2793,79.0791,0.00047258,0.232187,0.255295,0
30,0.065915,0.218097,79.0791,78.7788,0.00045177,0.230689,0.255634,0
31,0.064112,0.221297,78.7788,78.6787,0.00043089,0.231420,0.257730,0
32,0.062514,0.226691,79.0791,78.8789,0.00040995,0.230658,0.257654,0
33,0.056337,0.229601,78.7788,78.6787,0.00038904,0.228934,0.257093,0
34,0.054499,0.233509,79.5796,79.4795,0.00036822,0.227289,0.257082,0
35,0.052761,0.235473,79.5796,79.3794,0.00034760,0.226710,0.256328,0
36,0.050941,0.239519,79.6797,79.4795,0.00032716,0.225786,0.255735,0
37,0.049638,0.242114,79.7798,79.5796,0.00030700,0.224847,0.256053,0
38,0.045623,0.247972,79.3794,79.1792,0.00028719,0.222733,0.255184,0
39,0.044166,0.252458,79.0791,78.8789,0.00026778,0.223333,0.256138,0
40,0.043260,0.254232,78.4785,78.4785,0.00024883,0.222234,0.255452,0
41,0.041374,0.247392,78.7788,78.6787,0.00023040,0.221731,0.255291,0
42,0.040066,0.251384,78.0781,77.8779,0.00021254,0.222341,0.256848,0
43,0.038164,0.254298,78.3784,78.0781,0.00019532,0.221777,0.256620,0
44,0.037863,0.256759,78.4785,78.2783,0.00017878,0.220897,0.256098,0
45,0.036156,0.258206,78.9790,78.8789,0.00016300,0.220117,0.256094,0
46,0.035171,0.259422,79.0791,78.9790,0.00014797,0.219074,0.255712,0
47,0.034630,0.263558,79.3794,79.1792,0.00013376,0.219120,0.256335,0
48,0.032835,0.268139,79.6797,79.4795,0.00012043,0.217894,0.256038,0
49,0.034193,0.270229,79.4795,79.2793,0.00010803,0.217634,0.256319,0
50,0.032662,0.273902,79.5796,79.3794,0.00009655,0.217664,0.256765,0
51,0.032319,0.276543,78.8789,78.6787,0.00008605,0.217323,0.256345,0
52,0.031829,0.277423,79.1792,79.0791,0.00007657,0.217679,0.257129,0
53,0.031193,0.278090,79.0791,78.8789,0.00006813,0.217070,0.256921,0
54,0.030959,0.280566,78.7788,78.5786,0.00006077,0.216796,0.256550,0
55,0.030564,0.283968,78.8789,78.6787,0.00005449,0.216780,0.256763,0
