epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches
1,2.476879,1.115459,21.4214,6.7067,0.00029205,0.222816,0.226172,0
2,0.590665,0.383874,62.5626,62.0621,0.00054496,0.228536,0.238079,0
3,0.395313,0.306481,67.6677,67.3674,0.00079829,0.222436,0.233371,0
4,0.338003,0.276380,70.3704,70.1702,0.00079943,0.219046,0.227164,0
5,0.290025,0.263675,70.6707,70.4705,0.00079771,0.216795,0.224027,0
6,0.265533,0.248475,73.1732,72.9730,0.00079485,0.216089,0.223343,0
7,0.245006,0.246884,73.2733,73.2733,0.00079084,0.214941,0.221486,0
8,0.225936,0.230224,74.2743,74.1742,0.00078571,0.214894,0.221378,0
9,0.210019,0.222914,76.0761,75.9760,0.00077948,0.214122,0.221129,0
10,0.196012,0.212707,76.8769,76.7768,0.00077215,0.213962,0.220915,0
11,0.187646,0.207400,77.4775,77.2773,0.00076375,0.213656,0.221525,0
12,0.173686,0.201346,77.3774,77.2773,0.00075430,0.213418,0.221577,0
13,0.169757,0.198246,77.8779,77.6777,0.00074388,0.213389,0.222398,0
14,0.161070,0.195448,78.0781,77.9780,0.00073244,0.213111,0.221718,0
15,0.151726,0.191980,79.1792,79.0791,0.00072005,0.212410,0.222483,0
16,0.143822,0.190905,78.5786,78.4785,0.00070675,0.211374,0.222595,0
17,0.140281,0.188359,78.8789,78.8789,0.00069260,0.211408,0.223866,0
18,0.133831,0.190595,78.6787,78.6787,0.00067760,0.210286,0.223532,0
19,0.128836,0.192235,79.2793,79.2793,0.00066182,0.210415,0.223816,0
20,0.121373,0.188113,78.5786,78.5786,0.00064533,0.209212,0.224874,0
21,0.116497,0.186830,79.2793,79.2793,0.00062814,0.209045,0.225175,0
22,0.106146,0.188210,79.4795,79.4795,0.00061034,0.207443,0.225055,0
23,0.102297,0.190212,79.0791,79.0791,0.00059193,0.208149,0.225213,0
24,0.094919,0.188145,79.6797,79.6797,0.00057300,0.207454,0.224824,0
25,0.092950,0.195438,79.3794,79.3794,0.00055361,0.206410,0.225329,0
26,0.090768,0.201616,78.8789,78.8789,0.00053381,0.206327,0.226174,0
27,0.083889,0.200056,79.0791,79.0791,0.00051366,0.205150,0.224921,0
28,0.076188,0.206125,79.0791,79.0791,0.00049327,0.205737,0.225993,0
29,0.073012,0.207180,79.4795,79.4795,0.00047261,0.204533,0.225783,0
30,0.069883,0.210217,79.6797,79.6797,0.00045180,0.203637,0.226153,0
31,0.066318,0.216906,79.6797,79.6797,0.00043089,0.203889,0.226502,0
32,0.061016,0.226730,79.0791,79.0791,0.00040995,0.203203,0.226320,0
33,0.057740,0.221875,79.6797,79.6797,0.00038904,0.202475,0.226068,0
34,0.056024,0.226803,78.6787,78.6787,0.00036822,0.201504,0.226734,0
35,0.054494,0.228289,78.5786,78.5786,0.00034760,0.202280,0.227121,0
36,0.051204,0.231588,78.5786,78.5786,0.00032716,0.201866,0.227166,0
37,0.048950,0.229563,78.9790,78.9790,0.00030700,0.200910,0.226439,0
38,0.046938,0.232522,79.2793,79.2793,0.00028719,0.200842,0.226832,0
39,0.045016,0.237209,79.6797,79.6797,0.00026778,0.200770,0.228178,0
40,0.043514,0.238956,80.5806,80.5806,0.00024886,0.200067,0.228134,0
41,0.040617,0.243044,79.7798,79.6797,0.00023043,0.198186,0.226846,0
42,0.039640,0.257591,79.7798,79.7798,0.00021257,0.197654,0.226972,0
43,0.038884,0.256934,79.6797,79.6797,0.00019535,0.198795,0.228284,0
44,0.037856,0.263937,79.0791,79.0791,0.00017881,0.197956,0.227671,0
45,0.033996,0.265355,79.2793,79.2793,0.00016302,0.196890,0.226566,0
46,0.035286,0.266193,79.4795,79.4795,0.00014802,0.197207,0.227566,0
47,0.033839,0.271985,79.6797,79.6797,0.00013381,0.197247,0.228322,0
48,0.033011,0.278044,78.7788,78.7788,0.00012047,0.197303,0.228695,0
49,0.033019,0.279876,78.4785,78.4785,0.00010805,0.196722,0.228173,0
50,0.032057,0.281778,78.8789,78.8789,0.00009657,0.196173,0.227683,0
51,0.031279,0.280237,78.8789,78.7788,0.00008607,0.195924,0.227820,0
52,0.030576,0.280820,78.6787,78.6787,0.00007660,0.195666,0.227589,0
53,0.030247,0.282134,78.7788,78.6787,0.00006816,0.196115,0.228040,0
54,0.029946,0.281286,78.6787,78.6787,0.00006078,0.195977,0.227934,0
55,0.030202,0.278361,78.6787,78.6787,0.00005451,0.195184,0.227769,0
56,0.029018,0.279005,78.6787,78.6787,0.00004934,0.195195,0.227856,0
57,0.029150,0.281711,78.4785,78.3784,0.00004529,0.194464,0.227402,0
58,0.028278,0.282474,78.9790,78.9790,0.00004238,0.194109,0.226908,0
