epoch,train_loss,val_loss,val_acc,lr,sr_loss,nan_batches
1,2.898047,2.094933,0.0000,0.00029248,0.768695,0
2,1.252504,0.780691,32.0320,0.00054581,0.809069,0
3,0.582009,0.612512,41.8418,0.00079915,0.908037,0
4,0.418345,0.441311,56.7568,0.00079943,0.836690,0
5,0.350715,0.416389,58.7588,0.00079771,0.847921,0
6,0.309592,0.355256,63.5636,0.00079483,0.742781,0
7,0.286635,0.358250,61.1612,0.00079083,0.850175,0
8,0.271083,0.319594,67.1672,0.00078571,0.784238,0
9,0.257292,0.338305,63.5636,0.00077947,0.720342,0
10,0.241152,0.300348,68.6687,0.00077213,0.825445,0
11,0.230806,0.308808,67.0671,0.00076375,0.849654,0
12,0.221951,0.301190,67.4675,0.00075430,0.786526,0
13,0.213118,0.315263,66.8669,0.00074384,0.818858,0
14,0.203023,0.313539,66.2663,0.00073242,0.758551,0
15,0.194820,0.324714,66.5666,0.00072002,0.723868,0
16,0.186220,0.297018,69.3694,0.00070672,0.803715,0
17,0.178830,0.291878,71.6717,0.00069255,0.864986,0
18,0.172736,0.301055,69.1692,0.00067755,0.691587,0
19,0.167517,0.297017,70.8709,0.00066179,0.765249,0
20,0.158861,0.285430,69.9700,0.00064528,0.754859,0
21,0.153302,0.299704,71.2713,0.00062808,0.739703,0
22,0.147130,0.313124,71.7718,0.00061024,0.617616,0
23,0.143417,0.313880,70.7708,0.00059183,0.789592,0
24,0.135164,0.316126,71.5716,0.00057290,0.769136,0
25,0.134198,0.325028,72.0721,0.00055351,0.701653,0
26,0.128640,0.319375,72.7728,0.00053374,0.812258,0
27,0.124693,0.341213,71.6717,0.00051359,0.815166,0
28,0.120069,0.302683,72.8729,0.00049316,0.745468,0
29,0.114516,0.294005,73.4735,0.00047251,0.660857,0
30,0.111319,0.332295,71.0711,0.00045170,0.785825,0
31,0.111459,0.338068,72.4725,0.00043079,0.740843,0
32,0.105967,0.343273,72.7728,0.00040985,0.746940,0
33,0.103631,0.335827,73.5736,0.00038901,0.680946,0
34,0.098832,0.318825,74.6747,0.00036819,0.786551,0
35,0.099111,0.327167,73.2733,0.00034757,0.678476,0
36,0.095221,0.343499,74.8749,0.00032713,0.695708,0
37,0.094800,0.366580,73.9740,0.00030697,0.621183,0
38,0.090926,0.344778,74.4745,0.00028715,0.734389,0
39,0.090514,0.342470,74.6747,0.00026774,0.685618,0
40,0.088290,0.341044,74.0741,0.00024879,0.627321,0
41,0.086205,0.375012,73.6737,0.00023037,0.747338,0
42,0.083969,0.374868,75.3754,0.00021251,0.698226,0
43,0.083582,0.356551,74.3744,0.00019532,0.689961,0
44,0.082734,0.353585,75.2753,0.00017878,0.720528,0
45,0.080345,0.359640,75.4755,0.00016297,0.705879,0
46,0.079379,0.345072,75.5756,0.00014794,0.698851,0
47,0.078601,0.364289,75.2753,0.00013374,0.660099,0
48,0.077734,0.360357,75.8759,0.00012043,0.684752,0
49,0.076612,0.360559,75.0751,0.00010801,0.680309,0
50,0.076227,0.365570,76.2763,0.00009653,0.644597,0
51,0.075257,0.361993,75.3754,0.00008604,0.695872,0
52,0.075693,0.355017,75.6757,0.00007657,0.623614,0
53,0.074362,0.362672,75.1752,0.00006813,0.678167,0
54,0.074139,0.364269,75.7758,0.00006076,0.634113,0
55,0.074307,0.359465,75.2753,0.00005448,0.693813,0
56,0.073020,0.360432,75.7758,0.00004931,0.607804,0
57,0.072804,0.358157,76.1762,0.00004528,0.579510,0
58,0.072692,0.371009,76.1762,0.00004237,0.712680,0
59,0.072781,0.361761,76.2763,0.00004061,0.590235,0
60,0.072246,0.364943,75.8759,0.00004000,0.648504,0
