track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_10007,18.5074,17.5939,0.4699,0.4236
track_10011,16.2971,15.4551,0.3887,0.3300
track_10018,14.3229,13.9880,0.1870,0.1729
track_10029,16.0552,15.0216,0.5110,0.4462
track_10047,15.8219,15.1328,0.4088,0.3510
track_10052,18.9494,16.9711,0.3097,0.2822
track_10068,20.0796,18.6107,0.5116,0.4361
track_10070,17.4080,15.9474,0.5223,0.4479
track_10090,14.2184,13.4984,0.2995,0.2624
track_10100,15.7225,15.1324,0.3656,0.3141
track_10114,19.0486,17.9055,0.4575,0.4255
track_10115,16.9811,15.7461,0.3837,0.3391
track_10117,15.9257,14.8762,0.4820,0.4276
track_10123,16.8187,15.9533,0.3275,0.2960
track_10128,14.1350,13.6100,0.2758,0.2388
track_10134,18.7954,17.5300,0.5216,0.4669
track_10148,15.2966,14.6808,0.2689,0.2382
track_10153,18.6031,17.2442,0.5126,0.4432
track_10154,13.8880,13.4185,0.2089,0.1713
track_10162,16.8856,15.8546,0.4937,0.4419
track_10192,13.9463,13.3425,0.3846,0.3274
track_10197,15.3196,14.6026,0.3714,0.3251
track_10199,16.8544,15.1771,0.5265,0.4353
track_10227,19.4353,18.0310,0.5769,0.5220
track_10228,17.5375,16.5498,0.3458,0.3220
track_10253,20.7544,19.8635,0.5964,0.5575
track_10255,14.6956,13.8681,0.3834,0.3254
track_10266,16.0273,14.8157,0.4666,0.3821
track_10283,15.5239,14.7723,0.3696,0.3229
track_10300,18.2054,16.9365,0.4072,0.3623
track_10312,16.4856,15.4409,0.3476,0.2934
track_10326,18.3445,17.3582,0.4950,0.4432
track_10345,19.6646,18.5188,0.5092,0.4587
track_10368,16.5863,15.4381,0.5271,0.4514
track_10373,18.8461,17.7435,0.3802,0.3349
track_10379,19.5989,18.4372,0.5070,0.4740
track_10386,16.6712,15.7767,0.4128,0.3351
track_10414,15.7306,14.9373,0.3035,0.2691
track_10431,21.4051,19.8445,0.5240,0.4630
track_10459,17.8163,16.7119,0.4350,0.3847
track_10484,14.1084,13.4835,0.3186,0.2713
track_10486,19.9735,19.2057,0.5074,0.4702
track_10487,17.7345,16.5816,0.4283,0.3714
track_10505,15.8422,14.8945,0.3710,0.3301
track_10511,18.0057,17.0823,0.3842,0.3479
track_10517,14.3837,13.7697,0.2977,0.2696
track_10518,16.1117,15.3145,0.3218,0.2809
track_10538,18.2472,17.4754,0.3397,0.3087
track_10544,15.9413,15.0972,0.4006,0.3489
track_10552,19.4505,17.9720,0.5183,0.4758
track_10563,14.9885,14.4400,0.2250,0.2036
track_10587,21.0938,19.4340,0.5512,0.5182
track_10594,17.5897,17.0682,0.3628,0.3408
track_10600,15.9386,14.9648,0.2953,0.2525
track_10616,17.5482,16.0600,0.5032,0.4162
track_10622,16.7682,15.7022,0.4351,0.3769
track_10626,14.8847,14.1501,0.3484,0.3105
track_10656,16.0365,15.3637,0.4467,0.3964
track_10666,17.8760,16.8554,0.3603,0.3158
track_10676,15.9480,14.8089,0.4501,0.3775
track_10677,20.6824,19.1152,0.4966,0.4542
track_10686,21.3589,18.9864,0.3743,0.3450
track_10687,17.4923,16.3147,0.2981,0.2723
track_10706,23.2780,21.3079,0.4825,0.4639
track_10709,16.9520,15.8356,0.4204,0.3752
track_10722,15.6585,15.0679,0.3695,0.3288
track_10740,18.1934,16.9837,0.4089,0.3646
track_10742,24.6506,22.7160,0.5178,0.4736
track_10756,21.3067,19.3626,0.5882,0.5298
track_10797,19.0235,17.5718,0.3898,0.3506
track_10824,18.6651,17.8676,0.4390,0.4095
track_10836,15.4796,14.3539,0.4670,0.3931
track_10862,15.0079,14.2524,0.3496,0.3125
track_10868,19.7216,18.4589,0.4500,0.4217
track_10874,19.4952,17.8301,0.6154,0.5461
track_10879,16.2992,15.1827,0.5281,0.4525
track_10882,23.2912,21.3220,0.4771,0.4503
track_10884,19.1943,17.6662,0.5892,0.5269
track_10887,18.6393,16.9925,0.5378,0.4783
track_10889,18.2887,17.3227,0.3308,0.3090
track_10899,17.9374,16.9404,0.3785,0.3442
track_10919,14.5077,13.9531,0.2945,0.2557
track_10926,22.3063,20.1375,0.4679,0.4534
track_10943,20.2337,18.9881,0.4982,0.4623
track_10955,16.2231,14.8687,0.4748,0.4194
track_10986,16.6136,15.3661,0.4082,0.3617
track_10988,15.1634,14.3853,0.4128,0.3654
track_10994,17.7570,16.7794,0.5231,0.5004
track_10997,17.4251,16.6148,0.3446,0.3010
track_11036,21.2750,19.2570,0.5641,0.5032
track_11042,18.8598,16.9320,0.6479,0.5609
track_11048,18.9037,17.8130,0.5876,0.5179
track_11051,20.4145,18.8796,0.4552,0.3883
track_11056,20.1258,18.9772,0.5586,0.5100
track_11060,18.8388,17.3254,0.4973,0.4521
track_11080,17.4034,16.8070,0.2867,0.2683
track_11094,15.4504,14.3475,0.4013,0.3468
track_11107,15.8282,15.0576,0.4255,0.3669
track_11115,19.1571,17.8828,0.2926,0.2774
track_11128,15.9054,15.0731,0.3486,0.3027
track_11136,17.9820,16.8638,0.4572,0.4079
track_11162,14.5354,13.7371,0.2956,0.2509
track_11165,16.2456,15.2144,0.4462,0.3768
track_11188,21.2374,19.8930,0.6023,0.5678
track_11190,17.5969,16.3787,0.3202,0.2863
track_11191,18.6752,17.3738,0.5400,0.4824
track_11194,20.4744,18.6550,0.6258,0.5612
track_11195,20.9282,19.5722,0.4659,0.4278
track_11212,15.2855,14.5435,0.3388,0.2867
track_11242,18.5577,17.3652,0.5254,0.4592
track_11248,20.9046,18.8816,0.4486,0.4108
track_11258,18.0730,17.2166,0.4082,0.3648
track_11263,23.2136,21.1372,0.4783,0.4348
track_11279,16.5029,15.7244,0.3825,0.3261
track_11285,16.5227,15.5699,0.3399,0.3076
track_11301,14.8049,13.9771,0.3477,0.3086
track_11305,19.0070,17.5685,0.5336,0.5012
track_11328,18.2611,17.1456,0.3514,0.3108
track_11335,16.5752,15.6255,0.4480,0.4010
track_11336,19.3970,18.6740,0.4516,0.4339
track_11349,17.3698,16.0414,0.3190,0.2815
track_11378,20.1050,18.6481,0.5769,0.5270
track_11390,18.4974,17.2940,0.5097,0.4580
track_11391,18.3062,17.5392,0.4584,0.4255
track_11447,13.6347,12.9747,0.3591,0.3104
track_11481,18.3460,16.9798,0.5173,0.4604
track_11488,18.1146,16.5329,0.4878,0.4286
track_11507,16.5759,15.7516,0.4323,0.3890
track_11513,17.9408,16.7197,0.4083,0.3589
track_11530,15.1411,14.5532,0.2704,0.2181
track_11533,16.2568,15.5149,0.3821,0.3292
track_11539,19.1131,17.4045,0.4975,0.4357
track_11541,20.2536,18.7979,0.3949,0.3806
track_11609,16.4490,15.7958,0.2474,0.2094
track_11613,15.5410,14.6324,0.3804,0.3383
track_11624,17.5127,16.6050,0.4595,0.4084
track_11625,18.0716,15.9832,0.2295,0.1924
track_11669,16.5900,15.7944,0.3467,0.2999
track_11672,19.4617,17.3723,0.6483,0.5777
track_11677,15.9033,15.1749,0.3514,0.3113
track_11685,16.8735,15.9406,0.4261,0.3748
track_11702,16.1702,14.9640,0.3883,0.3212
track_11735,19.6013,18.5945,0.5435,0.5071
track_11748,17.4157,16.4599,0.2474,0.2223
track_11757,18.1100,16.9542,0.3977,0.3623
track_11765,16.8043,16.4213,0.1825,0.1726
