track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_10007,21.3334,17.9592,0.6292,0.4483
track_10011,20.0008,17.5153,0.6262,0.4898
track_10018,17.3664,15.0712,0.4765,0.3059
track_10029,19.8522,16.4883,0.6548,0.5041
track_10047,18.1070,15.9532,0.4741,0.3661
track_10052,23.0223,19.7475,0.4703,0.4175
track_10068,22.7291,20.0060,0.6379,0.5210
track_10070,17.8362,15.7816,0.5241,0.4033
track_10090,17.4678,16.0036,0.5213,0.4065
track_10100,16.7342,15.0955,0.4095,0.2815
track_10114,21.5993,19.7126,0.6209,0.5057
track_10115,19.9975,17.2450,0.5727,0.4055
track_10117,15.9990,15.0294,0.4705,0.3575
track_10123,18.4806,16.4647,0.4641,0.3234
track_10128,18.9190,16.3106,0.5736,0.4230
track_10134,20.9084,18.6457,0.6897,0.5964
track_10148,16.9653,15.0625,0.4499,0.2774
track_10153,21.7487,19.3474,0.6884,0.6019
track_10154,17.2958,15.0557,0.4752,0.3226
track_10162,19.7273,16.7885,0.6048,0.4542
track_10192,16.7361,14.4007,0.5208,0.3584
track_10197,18.2241,16.1724,0.5622,0.4384
track_10199,19.8822,16.1941,0.6913,0.4855
track_10227,19.8707,17.3133,0.6139,0.4737
track_10228,22.1932,20.6248,0.6558,0.5813
track_10253,21.2048,18.8901,0.5896,0.4671
track_10255,16.5993,14.8415,0.5119,0.3743
track_10266,19.7560,16.4816,0.6787,0.4702
track_10283,15.5392,14.1691,0.3370,0.2000
track_10300,20.4886,17.6200,0.5174,0.3527
track_10312,21.7671,18.5252,0.6096,0.4793
track_10326,22.0709,19.4003,0.6826,0.5598
track_10345,22.6826,18.7437,0.6362,0.4665
track_10368,19.8174,16.8424,0.6793,0.5440
track_10373,22.1029,18.2717,0.5412,0.3978
track_10379,22.7439,19.5928,0.6408,0.5359
track_10386,19.4571,16.7250,0.5108,0.3714
track_10414,18.5195,16.4818,0.4654,0.3138
track_10431,23.7435,20.6682,0.6579,0.5498
track_10459,18.5822,16.5031,0.4830,0.3425
track_10484,17.8094,16.1328,0.5519,0.4182
track_10486,19.9306,17.7818,0.4728,0.4028
track_10487,19.5767,17.9996,0.5096,0.4039
track_10505,18.4842,16.2887,0.5305,0.3991
track_10511,17.1426,16.1261,0.3057,0.2284
track_10517,16.4621,14.8798,0.4299,0.3279
track_10518,21.2575,18.0094,0.6324,0.4881
track_10538,20.6688,18.8882,0.4980,0.3777
track_10544,18.9610,16.0449,0.5951,0.4296
track_10552,22.2403,19.7412,0.6946,0.6129
track_10563,17.3260,15.3911,0.4387,0.2965
track_10587,23.6592,20.0647,0.6483,0.5405
track_10594,20.8696,17.9072,0.5601,0.3921
track_10600,19.3652,16.8277,0.4751,0.3124
