track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_10007,20.3613,18.6077,0.5916,0.5302
track_10011,16.2751,15.1628,0.3962,0.3261
track_10018,15.8798,15.1960,0.3711,0.3183
track_10029,13.9322,13.2401,0.2946,0.2534
track_10047,15.7136,15.1038,0.3814,0.3259
track_10052,23.5778,22.1515,0.5131,0.5143
track_10068,18.9000,17.4505,0.4398,0.3800
track_10070,17.7617,16.3361,0.5358,0.4596
track_10090,14.2148,13.7910,0.2560,0.2281
track_10100,15.6573,15.0291,0.3526,0.3113
track_10114,19.6575,18.4062,0.4758,0.4295
track_10115,17.0563,16.0015,0.3197,0.2888
track_10117,15.9224,14.7777,0.4747,0.4193
track_10123,17.0674,16.6901,0.3168,0.2837
track_10128,14.5037,14.0551,0.3215,0.2869
track_10134,19.2301,18.0331,0.5684,0.5151
track_10148,16.4297,15.5258,0.4087,0.3456
track_10153,18.1715,16.7615,0.4656,0.4026
track_10154,15.7152,14.8422,0.3732,0.3007
track_10162,15.0075,14.1681,0.3135,0.2640
track_10192,14.3006,13.6019,0.3763,0.3133
track_10197,18.0842,16.9237,0.5729,0.5211
track_10199,15.4256,14.3968,0.4458,0.3840
track_10227,20.3181,18.7071,0.6061,0.5362
track_10228,19.8847,19.2116,0.4997,0.4936
track_10253,19.8388,18.6242,0.5126,0.4690
track_10255,15.3663,14.3544,0.4228,0.3556
track_10266,16.0416,14.9596,0.4249,0.3505
track_10283,15.9015,14.9976,0.3469,0.2966
track_10300,18.4953,17.9362,0.3893,0.3380
track_10312,17.5043,16.3710,0.3805,0.3205
track_10326,18.5152,17.5927,0.5228,0.4743
track_10345,21.1172,19.6238,0.6130,0.5537
track_10368,16.2013,15.0514,0.4970,0.4147
track_10373,20.4575,19.0249,0.5182,0.4527
track_10379,17.8435,16.4939,0.3735,0.3204
track_10386,17.4966,16.5172,0.3985,0.3327
track_10414,18.5142,17.5685,0.4573,0.4158
track_10431,20.1784,18.6777,0.4541,0.4101
track_10459,18.7651,17.5254,0.4632,0.4123
track_10484,14.4703,14.1742,0.2382,0.2159
track_10486,19.1949,18.1802,0.4293,0.4014
track_10487,17.9641,16.9556,0.3979,0.3484
track_10505,15.6669,14.9439,0.2840,0.2540
track_10511,18.5569,17.6224,0.3711,0.3282
track_10517,14.3920,13.9297,0.2503,0.2127
track_10518,16.9877,16.2181,0.3722,0.3366
track_10538,19.2771,18.3450,0.4023,0.3585
track_10544,17.5933,16.1322,0.5532,0.4724
track_10552,19.0748,17.3383,0.4869,0.4222
track_10563,16.8794,16.0207,0.3657,0.3193
track_10587,18.4729,16.9271,0.3662,0.3194
track_10594,18.2571,17.5649,0.3661,0.3299
track_10600,18.8057,17.7825,0.4095,0.3707
track_10616,16.1040,15.1681,0.4072,0.3547
track_10622,17.1047,16.0989,0.4219,0.3720
track_10626,14.8851,14.5338,0.3013,0.2649
track_10656,15.5804,14.9586,0.4061,0.3589
track_10666,18.6837,17.6754,0.3925,0.3578
track_10676,15.9912,15.0509,0.3973,0.3327
track_10677,21.7185,20.3396,0.5472,0.5052
track_10686,24.1919,23.0794,0.4704,0.4783
track_10687,18.6390,17.5365,0.3516,0.3223
track_10706,24.1122,22.4109,0.5289,0.5107
track_10709,16.2964,15.3393,0.3805,0.3151
track_10722,15.7966,15.2565,0.3865,0.3580
track_10740,17.9133,17.0335,0.4124,0.3635
track_10742,23.0306,20.9706,0.4554,0.4134
track_10756,18.2536,17.1478,0.4553,0.4119
track_10797,18.2885,17.5048,0.3212,0.2974
track_10824,19.0169,17.5742,0.4868,0.4289
track_10836,16.7460,15.5202,0.5173,0.4433
track_10862,15.9895,15.2104,0.4016,0.3374
track_10868,20.6033,19.9007,0.4798,0.4434
track_10874,16.3765,15.8443,0.4452,0.3916
track_10879,14.3774,13.7904,0.3368,0.2880
track_10882,25.0099,22.7635,0.5612,0.5278
track_10884,18.8185,17.1042,0.5037,0.4434
track_10887,18.5538,17.0263,0.5036,0.4338
track_10889,17.3194,16.0852,0.2719,0.2512
track_10899,16.9888,16.1718,0.3042,0.2729
track_10919,15.1664,14.4412,0.3371,0.2918
track_10926,22.4068,20.7320,0.4942,0.4840
track_10943,19.1148,17.8409,0.4651,0.4190
track_10955,15.0520,14.2378,0.4406,0.3874
track_10986,15.1653,14.6671,0.3195,0.2875
track_10988,15.8379,14.6178,0.4564,0.3894
track_10994,19.5664,18.1045,0.6214,0.5599
track_10997,19.8245,18.8390,0.4636,0.4025
track_11036,22.0300,20.9241,0.5287,0.5007
track_11042,15.2123,14.7285,0.4737,0.4175
track_11048,17.6391,16.9685,0.4677,0.4163
track_11051,21.7792,20.2041,0.5055,0.4424
track_11056,20.3057,18.9265,0.5348,0.4763
track_11060,18.9921,17.5938,0.4858,0.4205
track_11080,16.5599,15.7365,0.2363,0.2287
track_11094,14.6905,13.7959,0.3229,0.2582
track_11107,17.1255,16.0149,0.4783,0.4167
track_11115,19.2167,18.1242,0.3042,0.2937
track_11128,15.8086,14.9150,0.3395,0.2908
track_11136,16.1827,15.4075,0.4063,0.3635
track_11162,13.6723,13.3261,0.2188,0.1929
track_11165,17.2379,15.6339,0.4957,0.4235
track_11188,22.5163,20.8063,0.6564,0.6049
track_11190,19.5110,18.4246,0.4127,0.3612
track_11191,19.1414,18.0598,0.5077,0.4527
track_11194,17.0821,16.5627,0.4450,0.3988
track_11195,19.9883,18.5499,0.3750,0.3414
track_11212,16.4208,15.6365,0.4052,0.3537
track_11242,18.0041,16.8519,0.4423,0.3811
track_11248,21.2771,19.3975,0.4333,0.3816
track_11258,16.9369,16.0557,0.3037,0.2727
track_11263,22.0807,19.7463,0.3953,0.3417
track_11279,17.2831,16.3579,0.4008,0.3450
track_11285,16.1343,15.6202,0.3382,0.2986
track_11301,14.7145,13.8859,0.3573,0.3146
track_11305,17.1249,16.2426,0.4663,0.4070
track_11328,17.3469,16.7894,0.2794,0.2536
track_11335,17.4445,15.9200,0.5131,0.4437
track_11336,20.2052,19.0192,0.5381,0.4885
track_11349,18.9873,17.9243,0.3760,0.3236
track_11378,20.9920,19.4638,0.6177,0.5708
track_11390,15.6565,15.2607,0.3529,0.3319
track_11391,17.0329,16.5729,0.3424,0.3256
track_11447,14.7981,14.0439,0.4337,0.3750
track_11481,17.8197,16.4858,0.4199,0.3795
track_11488,18.1466,16.8593,0.4617,0.3890
track_11507,16.0014,15.0534,0.4097,0.3428
track_11513,18.5476,17.9164,0.3885,0.3681
track_11530,18.9314,17.5294,0.5575,0.4979
track_11533,19.0868,17.5294,0.5777,0.4957
track_11539,20.9905,18.8328,0.6092,0.5508
track_11541,20.4673,19.3312,0.4349,0.4212
track_11609,18.6766,17.6072,0.4520,0.3901
track_11613,15.9557,15.1362,0.4866,0.4182
track_11624,18.2781,17.4432,0.4826,0.4374
track_11625,24.6829,23.2293,0.5858,0.5557
track_11669,18.0803,16.9006,0.4359,0.3787
track_11672,17.9912,16.5928,0.6094,0.5401
track_11677,16.3524,15.7079,0.3445,0.3053
track_11685,17.5415,16.5408,0.4468,0.3997
track_11702,17.7264,16.2756,0.4938,0.4256
track_11735,20.5377,19.1252,0.5462,0.4793
track_11748,21.8288,20.5329,0.5163,0.4728
track_11757,18.6717,17.9706,0.4165,0.3959
track_11765,20.1375,18.9292,0.4514,0.4087
track_11805,18.6774,16.8550,0.5977,0.5128
track_11813,19.2609,17.6068,0.5391,0.4852
track_11820,15.9668,15.3067,0.3697,0.3261
track_11835,20.1979,18.9232,0.5419,0.4811
track_11851,20.0650,19.1763,0.5644,0.5133
track_11853,18.4564,17.5972,0.4380,0.3891
