track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_10007,20.1100,18.3387,0.6055,0.5233
track_10011,17.8795,17.0159,0.5445,0.4774
track_10018,15.9760,15.4275,0.3515,0.3179
track_10029,15.3737,14.7170,0.4488,0.3501
track_10047,16.3793,15.3680,0.4425,0.3872
track_10052,23.4157,21.8073,0.4916,0.4398
track_10068,20.7590,19.4730,0.6194,0.5355
track_10070,17.9054,16.8151,0.5861,0.5287
track_10090,14.7463,14.0795,0.3329,0.2865
track_10100,16.7828,15.8931,0.4874,0.4229
track_10114,16.7615,15.2825,0.3023,0.2310
track_10115,18.8422,17.6738,0.5049,0.4311
track_10117,16.4035,15.3910,0.5394,0.4859
track_10123,18.0971,16.9864,0.4092,0.3521
track_10128,15.8656,15.3206,0.4062,0.3599
track_10134,21.3288,19.3892,0.6809,0.6209
track_10148,16.9323,16.0048,0.4502,0.3889
track_10153,19.6253,18.3209,0.5997,0.5296
track_10154,15.9361,15.2563,0.4488,0.3916
track_10162,16.7289,16.0021,0.4801,0.3872
track_10192,14.9615,14.0626,0.4449,0.3839
track_10197,17.6426,17.0017,0.5436,0.4989
track_10199,17.3639,15.9653,0.6093,0.5315
track_10227,20.3199,18.7438,0.6296,0.5676
track_10228,18.4873,17.0655,0.3929,0.3346
track_10253,21.1053,19.7157,0.6007,0.5659
track_10255,13.5955,12.7988,0.3115,0.2838
track_10266,17.3426,16.4043,0.5474,0.4744
track_10283,16.7250,15.8319,0.4750,0.4148
track_10300,19.6455,18.2683,0.5342,0.4612
track_10312,18.5845,17.4209,0.4620,0.4060
track_10326,20.8000,19.5000,0.6727,0.6156
track_10345,21.2615,19.3317,0.6345,0.5528
track_10368,17.3202,16.1913,0.6214,0.5553
track_10373,21.1002,19.5611,0.5461,0.4814
track_10379,19.9046,19.0714,0.4862,0.3888
track_10386,17.8776,16.5778,0.4671,0.3889
track_10414,18.1709,17.2063,0.4466,0.3955
track_10431,22.3764,21.0141,0.6378,0.5719
track_10459,19.0129,17.9268,0.5334,0.4725
track_10484,15.1329,14.2924,0.3558,0.2974
track_10486,20.4668,19.5492,0.5360,0.4944
track_10487,16.2027,14.7898,0.2674,0.2134
track_10505,17.3049,16.3334,0.4582,0.3957
track_10511,19.1920,18.2649,0.4978,0.4583
track_10517,15.5923,14.6210,0.3939,0.3237
track_10518,17.9287,17.0325,0.4270,0.3738
track_10538,20.9966,19.9280,0.5486,0.4992
track_10544,17.6548,16.2705,0.5851,0.5068
track_10552,20.5213,18.9836,0.6252,0.5679
track_10563,16.6299,15.8464,0.4057,0.3593
track_10587,21.1299,20.2102,0.6091,0.5292
track_10594,19.1521,17.9041,0.4305,0.3895
track_10600,18.7252,17.7997,0.4519,0.4104
track_10616,18.2814,16.9347,0.5643,0.4963
track_10622,17.2688,16.4756,0.4922,0.4522
track_10626,15.2581,14.4559,0.3872,0.3318
track_10656,17.1354,16.1014,0.5475,0.4895
track_10666,16.5936,14.9593,0.2414,0.1944
track_10676,17.0321,16.1996,0.5191,0.4604
track_10677,22.2422,20.9128,0.5927,0.5372
track_10686,24.0402,22.2606,0.4748,0.4297
track_10687,19.0640,18.1425,0.3846,0.3473
track_10706,25.4668,23.8933,0.6039,0.5646
track_10709,17.1025,15.9525,0.4247,0.3702
track_10722,16.9287,16.2507,0.5187,0.4686
track_10740,19.4268,18.5260,0.5289,0.4376
track_10742,21.1611,18.7579,0.3401,0.2778
track_10756,22.4821,21.0845,0.7480,0.6848
track_10797,19.5454,19.2025,0.4333,0.3781
track_10824,19.6764,18.4227,0.5258,0.4740
track_10836,14.3283,13.6856,0.3896,0.3195
track_10862,19.1571,17.7383,0.6450,0.5750
track_10868,22.1403,20.7335,0.5820,0.5189
track_10874,16.0591,15.3273,0.4188,0.3579
track_10879,14.9467,14.3062,0.4965,0.4426
track_10882,24.2658,22.7191,0.4742,0.4172
track_10884,18.2243,16.7069,0.5295,0.4853
track_10887,21.0635,19.4574,0.6691,0.6072
track_10889,20.0318,19.0627,0.4645,0.4177
track_10899,17.9545,16.9457,0.3647,0.3345
track_10919,15.7665,14.7707,0.4771,0.4210
