epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches,val_cer,val_ned,train_time_s,val_time_s,epoch_time_s
1,1.995498,0.613369,44.0440,43.1431,0.00029163,0.000000,0.000000,0,0.173745,0.173745,151.62,5.94,157.56
2,0.492161,0.329994,65.3654,65.0651,0.00054496,0.000000,0.000000,0,0.095810,0.095810,150.89,5.99,156.88
3,0.347372,0.277103,68.5686,68.3684,0.00079829,0.000000,0.000000,0,0.084799,0.084799,149.92,5.98,155.91
4,0.281527,0.240154,73.2733,73.1732,0.00079943,0.000000,0.000000,0,0.074646,0.074646,150.66,5.92,156.58
5,0.237073,0.222395,75.0751,75.0751,0.00079771,0.000000,0.000000,0,0.068497,0.068497,150.94,6.05,156.99
6,0.204772,0.210046,75.6757,75.6757,0.00079484,0.000000,0.000000,0,0.065208,0.065208,149.41,6.02,155.43
7,0.183149,0.199930,76.0761,76.0761,0.00079083,0.000000,0.000000,0,0.062777,0.062777,150.47,6.02,156.49
8,0.168112,0.198330,77.2773,77.2773,0.00078570,0.000000,0.000000,0,0.061490,0.061490,150.16,5.89,156.05
9,0.153511,0.193530,77.4775,77.4775,0.00077947,0.000000,0.000000,0,0.060918,0.060918,150.28,5.95,156.23
10,0.143179,0.188085,77.9780,77.9780,0.00077213,0.000000,0.000000,0,0.058916,0.058916,149.93,5.94,155.87
11,0.133481,0.184004,78.4785,78.4785,0.00076375,0.000000,0.000000,0,0.056056,0.056056,149.44,5.99,155.44
12,0.123618,0.182030,79.1792,79.1792,0.00075430,0.000000,0.000000,0,0.054054,0.054054,150.49,5.90,156.38
13,0.115226,0.182246,79.5796,79.5796,0.00074384,0.000000,0.000000,0,0.053196,0.053196,148.68,5.92,154.60
14,0.104531,0.183819,79.3794,79.3794,0.00073240,0.000000,0.000000,0,0.053768,0.053768,148.31,5.96,154.27
15,0.099195,0.183703,80.2803,80.2803,0.00072002,0.000000,0.000000,0,0.052481,0.052481,148.30,5.92,154.22
16,0.091994,0.183571,80.7808,80.6807,0.00070672,0.000000,0.000000,0,0.051194,0.051194,147.95,5.92,153.88
17,0.081836,0.185472,80.8809,80.8809,0.00069255,0.000000,0.000000,0,0.053196,0.053196,147.87,5.88,153.75
18,0.079586,0.185604,79.7798,79.7798,0.00067755,0.000000,0.000000,0,0.054340,0.054340,148.07,5.89,153.96
19,0.075839,0.190664,79.5796,79.5796,0.00066177,0.000000,0.000000,0,0.053911,0.053911,147.84,5.90,153.74
20,0.068679,0.190914,80.1802,80.1802,0.00064525,0.000000,0.000000,0,0.052481,0.052481,147.99,5.89,153.88
21,0.063699,0.193199,79.5796,79.5796,0.00062808,0.000000,0.000000,0,0.053768,0.053768,148.13,5.92,154.05
22,0.058317,0.196829,80.1802,80.1802,0.00061024,0.000000,0.000000,0,0.053768,0.053768,147.99,5.88,153.87
23,0.054913,0.204886,79.4795,79.4795,0.00059183,0.000000,0.000000,0,0.054769,0.054769,147.84,5.85,153.70
24,0.050428,0.210100,79.1792,79.1792,0.00057290,0.000000,0.000000,0,0.054340,0.054340,147.97,5.94,153.91
25,0.045249,0.213070,79.3794,79.3794,0.00055351,0.000000,0.000000,0,0.054054,0.054054,147.95,5.88,153.83
26,0.042097,0.217242,79.4795,79.4795,0.00053370,0.000000,0.000000,0,0.054483,0.054483,148.03,5.88,153.91
27,0.039573,0.220143,79.5796,79.5796,0.00051359,0.000000,0.000000,0,0.054483,0.054483,149.32,5.89,155.22
28,0.035705,0.224118,79.1792,79.1792,0.00049316,0.000000,0.000000,0,0.053768,0.053768,149.92,6.12,156.04
29,0.034702,0.232048,79.6797,79.6797,0.00047251,0.000000,0.000000,0,0.053482,0.053482,149.13,5.90,155.03
30,0.030425,0.234770,79.3794,79.3794,0.00045170,0.000000,0.000000,0,0.053911,0.053911,151.04,5.97,157.01
31,0.028664,0.236109,78.9790,78.9790,0.00043079,0.000000,0.000000,0,0.055055,0.055055,149.65,5.96,155.62
32,0.024940,0.241073,78.7788,78.7788,0.00040985,0.000000,0.000000,0,0.055341,0.055341,150.44,6.10,156.54
33,0.025436,0.246752,79.1792,79.0791,0.00038894,0.000000,0.000000,0,0.053625,0.053625,151.62,5.91,157.53
34,0.024108,0.249670,79.3794,79.3794,0.00036812,0.000000,0.000000,0,0.053196,0.053196,150.86,5.82,156.68
35,0.020946,0.251583,79.1792,79.1792,0.00034746,0.000000,0.000000,0,0.053911,0.053911,150.03,5.91,155.94
