epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches,val_cer,val_ned,train_time_s,val_time_s,epoch_time_s
1,2.383583,0.928877,29.2292,19.2192,0.00029163,0.249197,0.254805,0,0.240955,0.240955,572.12,16.84,588.96
2,0.568460,0.379887,61.5616,61.0611,0.00054496,0.254945,0.264294,0,0.110396,0.110396,569.59,16.54,586.13
3,0.408936,0.312967,67.6677,67.3674,0.00079829,0.250286,0.260402,0,0.093522,0.093522,568.46,16.63,585.09
4,0.333712,0.279957,72.2723,71.8719,0.00079943,0.246482,0.256553,0,0.080366,0.080366,567.82,16.61,584.43
5,0.291258,0.262869,72.7728,72.6727,0.00079772,0.245196,0.254485,0,0.077363,0.077363,567.48,16.59,584.07
6,0.265917,0.245180,73.9740,73.8739,0.00079485,0.244539,0.252013,0,0.073645,0.073645,566.78,16.61,583.39
7,0.244036,0.219482,74.5746,74.3744,0.00079085,0.243944,0.251283,0,0.068640,0.068640,566.40,16.63,583.04
8,0.223670,0.214398,75.5756,75.3754,0.00078574,0.242328,0.249843,0,0.068211,0.068211,564.90,16.67,581.56
9,0.206221,0.209186,75.6757,75.5756,0.00077951,0.240472,0.249554,0,0.066066,0.066066,563.81,16.68,580.49
10,0.197172,0.207269,75.9760,75.7758,0.00077219,0.239566,0.248850,0,0.064207,0.064207,563.13,16.64,579.77
11,0.182883,0.201519,76.7768,76.5766,0.00076379,0.238948,0.249129,0,0.061776,0.061776,562.88,16.65,579.53
12,0.175813,0.195613,77.2773,77.0771,0.00075435,0.238551,0.248848,0,0.060632,0.060632,562.47,16.68,579.15
13,0.163331,0.192233,77.4775,77.1772,0.00074390,0.236722,0.248774,0,0.060203,0.060203,563.00,16.64,579.64
14,0.157248,0.187886,77.9780,77.7778,0.00073246,0.237440,0.249951,0,0.058201,0.058201,562.64,16.58,579.22
15,0.150646,0.189146,78.3784,78.1782,0.00072007,0.236483,0.248827,0,0.057343,0.057343,562.62,16.70,579.31
16,0.141162,0.185153,79.0791,78.8789,0.00070677,0.235031,0.249124,0,0.055627,0.055627,563.23,16.77,580.00
17,0.133660,0.187957,79.4795,79.2793,0.00069262,0.233747,0.248916,0,0.057343,0.057343,563.04,16.66,579.70
18,0.127139,0.188066,79.6797,79.6797,0.00067763,0.232564,0.248800,0,0.055055,0.055055,562.26,16.72,578.98
19,0.121985,0.187530,78.4785,78.4785,0.00066185,0.232220,0.248609,0,0.055770,0.055770,562.40,16.73,579.13
20,0.120110,0.186396,79.4795,79.4795,0.00064533,0.232565,0.250564,0,0.053196,0.053196,562.30,16.70,579.00
21,0.111440,0.189877,79.5796,79.4795,0.00062814,0.230621,0.250719,0,0.053768,0.053768,562.82,16.69,579.51
22,0.104080,0.188493,79.3794,79.2793,0.00061031,0.229684,0.250770,0,0.054340,0.054340,562.85,16.63,579.48
23,0.097565,0.190176,78.9790,78.8789,0.00059193,0.228985,0.251747,0,0.052767,0.052767,562.33,16.72,579.05
24,0.091867,0.195262,78.1782,78.1782,0.00057300,0.227197,0.251075,0,0.054340,0.054340,561.78,16.86,578.64
25,0.086254,0.200021,78.4785,78.4785,0.00055361,0.227321,0.251487,0,0.055627,0.055627,561.33,16.66,577.99
26,0.084346,0.201209,78.8789,78.8789,0.00053381,0.226662,0.251228,0,0.054483,0.054483,561.27,16.74,578.02
27,0.075688,0.202858,78.9790,78.9790,0.00051366,0.225443,0.251334,0,0.052624,0.052624,561.71,16.67,578.38
28,0.072528,0.213600,78.4785,78.3784,0.00049323,0.225228,0.252687,0,0.053911,0.053911,561.47,16.71,578.18
29,0.067980,0.214513,79.5796,79.5796,0.00047258,0.222887,0.251413,0,0.054197,0.054197,561.21,16.65,577.86
30,0.067731,0.216497,79.1792,79.0791,0.00045180,0.223576,0.251828,0,0.054769,0.054769,561.48,16.65,578.13
31,0.061744,0.215464,79.4795,79.2793,0.00043089,0.222237,0.251699,0,0.053053,0.053053,561.06,16.67,577.74
32,0.057896,0.214086,80.0801,79.8799,0.00040995,0.221557,0.252125,0,0.052481,0.052481,560.92,16.73,577.65
33,0.056181,0.223560,79.5796,79.4795,0.00038904,0.221059,0.252252,0,0.054054,0.054054,560.97,16.47,577.45
34,0.052650,0.225942,79.2793,79.1792,0.00036826,0.219671,0.251932,0,0.053911,0.053911,560.05,16.46,576.52
35,0.050246,0.226528,79.4795,79.3794,0.00034760,0.218021,0.252180,0,0.053339,0.053339,559.93,16.47,576.40
36,0.047691,0.236237,78.7788,78.7788,0.00032716,0.217658,0.253360,0,0.054483,0.054483,559.97,16.52,576.50
37,0.046504,0.240309,79.3794,79.3794,0.00030700,0.217235,0.253200,0,0.054483,0.054483,559.95,16.49,576.44
38,0.043970,0.242178,79.2793,79.1792,0.00028719,0.216963,0.253648,0,0.052910,0.052910,560.39,16.51,576.90
39,0.042228,0.246444,79.5796,79.5796,0.00026778,0.216077,0.252997,0,0.052910,0.052910,559.98,16.53,576.52
40,0.040838,0.253479,77.9780,77.9780,0.00024883,0.215954,0.254329,0,0.054483,0.054483,560.13,16.47,576.59
41,0.038730,0.256840,78.5786,78.5786,0.00023043,0.215216,0.254763,0,0.053911,0.053911,560.44,16.54,576.98
42,0.038798,0.258083,78.3784,78.3784,0.00021260,0.213923,0.254112,0,0.054626,0.054626,559.66,16.47,576.13
43,0.036471,0.261951,78.1782,78.1782,0.00019538,0.213778,0.255437,0,0.055770,0.055770,559.25,16.50,575.76
44,0.035356,0.264935,78.3784,78.3784,0.00017883,0.212987,0.255004,0,0.056056,0.056056,559.22,16.54,575.76
45,0.035062,0.268434,78.8789,78.7788,0.00016302,0.212307,0.254515,0,0.055770,0.055770,559.17,16.44,575.61
46,0.033832,0.266673,79.3794,79.2793,0.00014799,0.212006,0.255164,0,0.053339,0.053339,559.46,16.50,575.96
47,0.033805,0.265732,79.6797,79.5796,0.00013379,0.211065,0.255446,0,0.053196,0.053196,559.68,16.57,576.25
