track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_10007,16.9667,16.5422,0.3493,0.3261
track_10011,15.5023,15.0839,0.3193,0.2835
track_10018,16.2916,15.4577,0.3927,0.3565
track_10029,14.1047,13.8301,0.3387,0.3025
track_10047,15.1720,14.7315,0.3136,0.2815
track_10052,23.8657,23.0524,0.5047,0.5272
track_10068,18.4300,17.5428,0.3791,0.3379
track_10070,14.8433,14.5309,0.3114,0.2902
track_10090,13.5408,13.2613,0.2101,0.1909
track_10100,14.9095,14.5281,0.2501,0.2303
track_10114,19.9405,18.5063,0.4745,0.4407
track_10115,17.2685,16.7835,0.3848,0.3563
track_10117,16.9704,15.9469,0.5673,0.5136
track_10123,17.8842,17.2911,0.3904,0.3586
track_10128,16.2114,15.5346,0.3917,0.3536
track_10134,17.7627,17.0026,0.4777,0.4394
track_10148,14.6935,14.2155,0.2340,0.2102
track_10153,19.6946,18.5915,0.5653,0.5206
track_10154,13.5905,13.3092,0.2277,0.2072
track_10162,16.1195,15.4210,0.3851,0.3489
track_10192,13.8509,13.3508,0.3380,0.2961
track_10197,18.2636,17.3156,0.5578,0.5270
track_10199,15.5234,14.8169,0.4645,0.4129
track_10227,19.8721,18.5706,0.5847,0.5499
track_10228,20.5937,19.7010,0.5260,0.5115
track_10253,20.6522,19.5885,0.5288,0.5109
track_10255,17.3969,16.0183,0.5894,0.5280
track_10266,17.0309,16.0205,0.4975,0.4349
track_10283,16.0272,15.4141,0.4239,0.3845
track_10300,19.6666,18.3676,0.4922,0.4540
track_10312,18.4924,17.5491,0.4675,0.4193
track_10326,20.2049,18.7494,0.5763,0.5262
track_10345,18.3171,17.7569,0.4171,0.3837
track_10368,15.7603,15.1337,0.4497,0.4007
track_10373,20.1481,19.0914,0.4833,0.4443
track_10379,17.5087,17.0580,0.3697,0.3466
track_10386,16.6177,16.1932,0.3372,0.2971
track_10414,17.2089,16.6646,0.3580,0.3345
track_10431,17.5542,16.8595,0.3099,0.2913
track_10459,18.5594,17.8664,0.4602,0.4269
track_10484,15.7899,15.1894,0.4319,0.3985
track_10486,19.0935,18.5706,0.4114,0.3987
track_10487,18.7666,18.1463,0.4397,0.4023
track_10505,14.6767,14.3248,0.2403,0.2167
track_10511,17.5582,17.0872,0.3024,0.2779
track_10517,15.2333,14.4996,0.3397,0.3155
track_10518,18.7049,17.9822,0.4840,0.4438
track_10538,19.8440,18.7755,0.4289,0.3994
track_10544,16.0104,15.3611,0.3911,0.3551
track_10552,20.5487,18.9807,0.5358,0.5191
track_10563,16.3067,15.7152,0.3188,0.2902
track_10587,20.5968,19.3511,0.5418,0.5193
track_10594,21.4883,20.6912,0.5748,0.5632
track_10600,16.6452,16.1405,0.3106,0.2903
track_10616,15.5855,15.1583,0.3748,0.3232
track_10622,14.6533,14.2317,0.2798,0.2477
track_10626,15.9005,15.2759,0.3971,0.3612
track_10656,14.1103,13.9447,0.2564,0.2289
track_10666,18.5730,17.7994,0.3646,0.3343
track_10676,16.6671,15.7459,0.4126,0.3436
track_10677,22.4359,21.2297,0.6074,0.5865
track_10686,20.6291,19.1469,0.3730,0.3471
track_10687,20.2297,19.0801,0.4554,0.4221
track_10706,23.2543,21.8510,0.5013,0.4803
track_10709,16.9474,16.0932,0.4603,0.4274
track_10722,17.1790,16.5073,0.5441,0.5011
track_10740,20.2274,18.9595,0.5426,0.4989
track_10742,22.5948,21.8744,0.4297,0.4100
track_10756,19.1772,18.3012,0.5030,0.4663
track_10797,17.6312,16.9331,0.3060,0.2787
track_10824,21.6706,19.9988,0.6640,0.5973
track_10836,14.0424,13.5551,0.3093,0.2756
track_10862,17.0612,15.9775,0.4923,0.4425
track_10868,19.7801,19.1973,0.4076,0.3822
track_10874,16.6903,15.8948,0.3871,0.3512
track_10879,15.0528,14.4665,0.3924,0.3517
