epoch,train_loss,val_loss,val_acc,val_acc_greedy,lr,sr_loss,sr_loss_bilinear,nan_batches,val_cer,val_ned,train_time_s,val_time_s,epoch_time_s
1,2.727898,1.736468,0.7007,0.0000,0.00029248,0.219160,0.222746,0,0.503504,0.503504,244.68,11.11,255.79
2,0.926147,0.508881,53.8539,48.7487,0.00054496,0.228993,0.238436,0,0.125983,0.125983,244.14,11.10,255.24
3,0.493547,0.343083,66.9670,64.3644,0.00079829,0.222295,0.237261,0,0.088374,0.088374,244.09,11.18,255.27
4,0.366385,0.278546,71.4715,70.8709,0.00079943,0.219144,0.232398,0,0.077792,0.077792,243.75,11.16,254.91
5,0.292663,0.261863,72.2723,71.5716,0.00079771,0.216677,0.230396,0,0.074360,0.074360,243.82,11.19,255.00
6,0.259880,0.251136,74.0741,73.4735,0.00079484,0.214742,0.227946,0,0.070785,0.070785,243.74,11.18,254.92
7,0.234301,0.242449,74.8749,74.5746,0.00079083,0.214080,0.226511,0,0.068783,0.068783,243.79,11.15,254.94
8,0.220272,0.234281,76.1762,75.3754,0.00078571,0.212773,0.223752,0,0.065780,0.065780,243.85,11.13,254.98
9,0.202632,0.227754,76.5766,76.1762,0.00077947,0.212572,0.223973,0,0.062062,0.062062,243.50,11.19,254.69
10,0.193663,0.227939,76.6767,76.3764,0.00077213,0.211494,0.224227,0,0.062920,0.062920,243.46,11.18,254.64
11,0.180112,0.224525,76.3764,75.9760,0.00076373,0.211823,0.224368,0,0.062491,0.062491,243.54,11.16,254.70
12,0.171321,0.221173,76.7768,76.2763,0.00075428,0.211822,0.223799,0,0.060632,0.060632,243.56,11.15,254.71
13,0.160849,0.214278,77.0771,76.8769,0.00074384,0.211518,0.224424,0,0.059631,0.059631,243.53,11.20,254.72
14,0.153598,0.208472,77.6777,77.2773,0.00073240,0.210264,0.223207,0,0.057200,0.057200,243.29,11.13,254.42
15,0.146393,0.206533,77.7778,77.3774,0.00072000,0.209926,0.225077,0,0.056628,0.056628,243.42,11.27,254.69
16,0.137989,0.208435,78.3784,77.8779,0.00070672,0.209528,0.224388,0,0.055770,0.055770,243.51,11.15,254.66
17,0.134871,0.208595,77.9780,77.5776,0.00069255,0.210010,0.226079,0,0.057343,0.057343,243.34,11.14,254.48
18,0.127175,0.211419,78.2783,77.9780,0.00067755,0.209424,0.225091,0,0.056914,0.056914,243.29,11.17,254.47
19,0.119344,0.211565,78.0781,77.6777,0.00066177,0.209027,0.225404,0,0.056914,0.056914,243.38,11.26,254.64
20,0.113311,0.216204,78.0781,77.7778,0.00064528,0.208744,0.225138,0,0.056628,0.056628,243.28,11.13,254.40
21,0.106698,0.221031,78.0781,77.7778,0.00062808,0.206952,0.224436,0,0.057200,0.057200,243.02,11.14,254.16
22,0.099589,0.220930,77.8779,77.7778,0.00061024,0.205256,0.224144,0,0.057200,0.057200,243.35,11.17,254.53
23,0.093431,0.225547,77.5776,77.3774,0.00059183,0.205830,0.224969,0,0.057343,0.057343,242.96,11.15,254.11
24,0.089007,0.229885,78.0781,77.7778,0.00057293,0.205835,0.225451,0,0.057057,0.057057,243.09,11.23,254.32
25,0.084984,0.231899,77.8779,77.4775,0.00055354,0.204928,0.224660,0,0.058058,0.058058,243.16,11.13,254.29
26,0.081168,0.234562,77.7778,77.4775,0.00053374,0.204985,0.225724,0,0.057200,0.057200,243.01,11.12,254.13
27,0.076566,0.237441,77.9780,77.6777,0.00051363,0.204262,0.225245,0,0.057486,0.057486,243.16,11.21,254.37
28,0.072789,0.241666,77.9780,77.9780,0.00049320,0.204055,0.226071,0,0.057772,0.057772,243.17,11.19,254.36
29,0.068676,0.245508,78.4785,77.9780,0.00047254,0.203019,0.225003,0,0.056056,0.056056,243.00,11.11,254.11
30,0.062589,0.251120,78.2783,78.0781,0.00045177,0.201819,0.224947,0,0.056199,0.056199,242.80,11.19,253.99
31,0.061272,0.261772,77.6777,77.4775,0.00043086,0.202010,0.225155,0,0.058916,0.058916,242.73,11.15,253.88
32,0.057976,0.266996,78.3784,77.9780,0.00040992,0.200961,0.225183,0,0.057772,0.057772,242.66,11.19,253.85
33,0.056243,0.263388,78.0781,77.7778,0.00038901,0.201133,0.225743,0,0.057772,0.057772,242.95,10.98,253.93
34,0.053419,0.271421,77.7778,77.5776,0.00036819,0.201020,0.226326,0,0.057200,0.057200,242.93,10.99,253.93
35,0.049658,0.275108,78.3784,77.9780,0.00034753,0.200309,0.226178,0,0.055770,0.055770,242.72,11.14,253.86
36,0.047518,0.283839,78.1782,77.8779,0.00032709,0.199875,0.225875,0,0.057915,0.057915,242.90,11.06,253.96
37,0.046913,0.282624,77.5776,77.2773,0.00030693,0.199877,0.226139,0,0.057772,0.057772,243.13,11.05,254.18
38,0.044095,0.281282,77.9780,77.7778,0.00028715,0.199976,0.226609,0,0.056485,0.056485,279.50,11.34,290.84
39,0.042916,0.281670,78.0781,78.0781,0.00026774,0.199549,0.226309,0,0.055055,0.055055,330.26,14.54,344.80
40,0.041295,0.284378,78.1782,77.9780,0.00024879,0.198596,0.225923,0,0.055913,0.055913,269.28,11.02,280.30
41,0.038899,0.288732,78.9790,78.6787,0.00023037,0.197520,0.225403,0,0.054340,0.054340,243.09,11.05,254.14
42,0.036971,0.295549,78.5786,78.2783,0.00021251,0.197305,0.225270,0,0.055198,0.055198,243.26,11.00,254.26
43,0.036191,0.299294,78.2783,77.9780,0.00019529,0.196883,0.224796,0,0.054912,0.054912,243.06,11.03,254.09
