track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_10007,18.6883,17.7580,0.5434,0.4878
track_10011,16.4152,15.6100,0.4066,0.3460
track_10018,16.8900,15.8085,0.5001,0.4252
track_10029,16.8438,15.7167,0.5574,0.4822
track_10047,15.3151,14.5000,0.3715,0.3253
track_10052,22.7553,21.1933,0.4797,0.4345
track_10068,20.7484,19.3989,0.6541,0.5696
track_10070,16.1492,15.2497,0.4694,0.3960
track_10090,17.0916,16.0557,0.5668,0.4861
track_10100,16.6782,15.4911,0.4568,0.3987
track_10114,20.7947,19.6496,0.6065,0.5279
track_10115,17.7554,16.6155,0.4411,0.3575
track_10117,17.6395,16.2814,0.6870,0.6003
track_10123,20.6201,19.4475,0.6045,0.5368
track_10128,16.9621,15.9910,0.5253,0.4426
track_10134,19.4913,18.1390,0.6509,0.5888
track_10148,17.0745,16.4113,0.4314,0.3637
track_10153,19.3107,17.9317,0.5370,0.4474
track_10154,17.2390,15.7180,0.5639,0.4963
track_10162,17.4239,16.5325,0.5776,0.4930
track_10192,14.1887,13.5550,0.4118,0.3270
track_10197,17.2263,16.3244,0.5204,0.4589
track_10199,15.9603,14.7140,0.5432,0.4353
track_10227,19.7284,18.3511,0.5959,0.5147
track_10228,19.1563,18.4055,0.4211,0.3761
track_10253,22.0399,20.9269,0.6210,0.5262
track_10255,17.2997,16.0954,0.6088,0.5314
track_10266,18.5818,17.0971,0.6639,0.5261
track_10283,16.2626,15.7634,0.4723,0.4032
track_10300,22.3964,20.9374,0.7221,0.6314
track_10312,20.2106,18.9942,0.6622,0.5774
track_10326,19.2146,17.9596,0.5545,0.4823
track_10345,18.9258,17.8408,0.4462,0.3701
track_10368,17.1006,15.8867,0.5538,0.4823
track_10373,20.7004,19.2700,0.5168,0.4273
track_10379,19.6933,18.2587,0.4741,0.3627
track_10386,17.9749,17.2426,0.4792,0.3944
track_10414,19.5271,18.1951,0.5494,0.4589
track_10431,19.6757,18.3384,0.5062,0.4488
track_10459,18.0826,16.7838,0.4353,0.3580
track_10484,14.6759,13.8253,0.3117,0.2394
track_10486,19.7486,19.0040,0.4419,0.3839
track_10487,17.7499,17.0863,0.3789,0.3093
track_10505,18.9840,17.7603,0.6374,0.5330
track_10511,19.2029,18.2679,0.4990,0.4189
track_10517,13.9395,13.5104,0.2049,0.1571
track_10518,17.4100,16.5003,0.4211,0.3640
track_10538,20.1748,19.5473,0.4626,0.3809
track_10544,17.4789,16.6310,0.5686,0.4878
track_10552,19.9753,18.3736,0.5924,0.5259
track_10563,17.6200,16.7067,0.4525,0.3717
track_10587,21.2584,19.8969,0.5795,0.5026
track_10594,20.0801,18.9954,0.5160,0.4527
track_10600,18.3686,17.1772,0.5035,0.4434
track_10616,18.4382,17.1988,0.6328,0.5424
track_10622,15.8376,15.0881,0.3868,0.3384
track_10626,18.9683,17.9460,0.7020,0.6251
track_10656,16.3438,15.5568,0.4579,0.3434
track_10666,20.1639,18.7734,0.5443,0.4545
track_10676,18.1520,16.8889,0.6036,0.5273
track_10677,21.9388,20.7528,0.5910,0.5032
track_10686,23.5610,21.7776,0.4868,0.4283
track_10687,19.9128,19.0793,0.4344,0.3787
track_10706,23.1857,21.5815,0.4841,0.4256
track_10709,17.8513,16.7308,0.4989,0.4203
track_10722,17.6238,16.8249,0.6098,0.5506
track_10740,18.7084,17.0780,0.4752,0.4082
track_10742,23.0976,21.5826,0.4520,0.3773
track_10756,18.2877,17.2737,0.4897,0.4000
track_10797,19.7152,18.8793,0.4343,0.3596
track_10824,19.2723,17.9926,0.4784,0.4132
track_10836,14.9698,14.2735,0.4606,0.3634
track_10862,16.9258,15.6962,0.4638,0.3684
track_10868,21.4740,20.6532,0.5352,0.4663
track_10874,17.6565,16.6665,0.4638,0.3740
track_10879,14.8095,14.2115,0.4116,0.3428
track_10882,26.1331,24.0044,0.5533,0.4855
track_10884,19.7085,18.0515,0.6775,0.5724
track_10887,19.5493,18.2414,0.5847,0.4777
track_10889,17.4798,15.9812,0.2276,0.2003
track_10899,17.2723,16.3683,0.2934,0.2428
track_10919,16.0664,15.1420,0.5001,0.4330
track_10926,24.1146,22.5460,0.5393,0.4925
track_10943,21.2368,19.0947,0.5801,0.4906
track_10955,15.6842,14.7085,0.5091,0.4425
track_10986,16.9826,16.1505,0.4971,0.4119
track_10988,15.9623,15.1140,0.4957,0.4384
track_10994,17.2340,16.4081,0.4913,0.4172
track_10997,18.9601,17.8818,0.3878,0.3132
track_11036,21.9874,19.9667,0.5591,0.4518
track_11042,16.8272,15.7594,0.5988,0.5211
track_11048,19.0446,17.7521,0.6035,0.5121
track_11051,22.1208,20.9143,0.5576,0.4745
track_11056,21.4999,19.7305,0.5453,0.4733
track_11060,21.2062,19.5298,0.6072,0.5113
track_11080,21.0426,20.3646,0.5835,0.5308
track_11094,17.2537,15.9593,0.5610,0.4602
track_11107,15.8989,15.1871,0.3923,0.3178
track_11115,21.3241,19.9446,0.4684,0.4033
track_11128,17.2698,16.2036,0.4967,0.3976
track_11136,17.4163,16.5076,0.5073,0.4062
track_11162,16.0228,15.1843,0.4534,0.3945
track_11165,18.7192,17.1077,0.6391,0.5492
track_11188,19.1578,18.3320,0.4192,0.3500
track_11190,22.9908,21.5946,0.6917,0.6026
track_11191,18.8553,18.0134,0.4482,0.3450
track_11194,17.9448,16.9867,0.4453,0.3603
track_11195,20.0170,19.0044,0.3659,0.3274
track_11212,17.5898,16.6765,0.5186,0.4279
track_11242,17.2677,16.2186,0.4487,0.3787
track_11248,22.6062,21.2966,0.5332,0.4683
track_11258,20.2159,19.2491,0.5026,0.4273
track_11263,19.8926,16.7127,0.3139,0.2247
track_11279,16.8771,15.9500,0.4222,0.3493
track_11285,18.5804,17.1549,0.5617,0.4786
track_11301,16.8125,15.8781,0.6280,0.5685
track_11305,17.6839,16.7420,0.4485,0.3915
track_11328,20.7386,20.0552,0.5534,0.4748
track_11335,16.6822,15.6190,0.4730,0.3849
track_11336,20.0110,19.0665,0.5808,0.5209
track_11349,21.1343,19.1878,0.5151,0.4319
track_11378,21.0090,19.4289,0.6148,0.5519
track_11390,17.3189,16.2485,0.4586,0.4102
track_11391,18.0233,17.0916,0.4047,0.3354
track_11447,15.6807,14.5833,0.5195,0.4331
track_11481,16.4854,15.4683,0.3707,0.3238
track_11488,17.1020,16.2749,0.3687,0.2922
track_11507,18.3812,17.0820,0.5825,0.4939
track_11513,19.3993,18.5802,0.4787,0.4122
track_11530,17.7042,16.4944,0.4974,0.4078
track_11533,18.0844,16.9691,0.5607,0.4980
track_11539,18.6409,17.3981,0.5983,0.5299
track_11541,21.0900,19.1476,0.4566,0.4083
track_11609,18.0777,16.5473,0.4329,0.3557
track_11613,14.8872,14.2334,0.3786,0.3143
track_11624,18.4066,17.3237,0.4834,0.3908
track_11625,23.5883,21.5538,0.5124,0.4137
track_11669,16.4045,15.5659,0.3830,0.3296
