epoch,train_loss,val_loss,val_acc,val_raw_acc,val_ema_acc,used_ema,lr,sr_loss,sr_weight,pos_loss,distill_loss,skipped_batches,nan_batches,weights_nonfinite,best_acc,epoch_seconds
1,3.118105,3.200474,0.0,0.0,0.0,1,8.000000e-05,0.475576,0.3,0.0,0.0,6,0,,0.0,355.3
2,2.220031,1.433558,3.8038,3.8038,0.0,0,1.400000e-04,0.487704,0.299858,0.0,0.0,3,0,,3.8038,320.7
3,1.152044,0.782622,32.3323,32.3323,17.017,0,2.000000e-04,0.503816,0.299433,0.0,0.0,0,0,,32.3323,313.2
4,0.887092,0.553626,46.046,33.1331,46.046,1,1.998489e-04,0.495249,0.298727,0.0,0.0,0,0,,46.046,323.0
5,0.754605,0.417958,56.957,36.8368,56.957,1,9.969919e-05,0.483698,0.29774,0.0,0.0,0,0,,56.957,317.4
6,0.634236,0.381488,61.5616,54.6547,61.5616,1,9.932451e-05,0.471676,0.296477,0.0,0.0,0,0,,61.5616,321.1
7,0.601313,0.356065,64.0641,55.4555,64.0641,1,9.880155e-05,0.466735,0.29494,0.0,0.0,0,0,,64.0641,320.6
8,0.580212,0.332957,66.4665,60.7608,66.4665,1,9.813189e-05,0.46261,0.293134,0.0,0.0,1,0,,66.4665,322.7
9,0.560574,0.320728,67.2673,60.8609,67.2673,1,9.731758e-05,0.459624,0.291063,0.0,0.0,1,0,,67.2673,322.9
10,0.544313,0.311155,68.969,57.6577,68.969,1,9.636109e-05,0.457053,0.288735,0.0,0.0,0,0,,68.969,322.0
11,0.533775,0.301949,69.97,61.5616,69.97,1,9.526532e-05,0.455376,0.286155,0.0,0.0,0,0,,69.97,320.0
12,0.523535,0.290996,71.6717,64.8649,71.6717,1,9.403359e-05,0.452967,0.283331,0.0,0.0,2,0,,71.6717,325.9
13,0.511278,0.278022,71.5716,63.6637,71.5716,1,9.266966e-05,0.450726,0.280271,0.0,0.0,0,0,,71.6717,324.0
14,0.507087,0.277138,71.5716,63.5636,71.5716,1,9.117766e-05,0.450262,0.276983,0.0,0.0,2,0,,71.6717,322.2
15,0.498235,0.27854,72.5726,62.7628,72.5726,1,8.956212e-05,0.449091,0.273477,0.0,0.0,0,0,,72.5726,321.0
16,0.491377,0.277661,73.1732,65.0651,73.1732,1,8.782794e-05,0.448235,0.269763,0.0,0.0,0,0,,73.1732,318.6
17,0.478386,0.270487,73.3734,63.964,73.3734,1,8.598041e-05,0.446318,0.265851,0.0,0.0,1,0,,73.3734,319.4
18,0.472188,0.263102,73.3734,67.0671,73.3734,1,8.402512e-05,0.44488,0.261752,0.0,0.0,0,0,,73.3734,327.7
19,0.460537,0.26145,73.7738,60.961,73.7738,1,8.196801e-05,0.442751,0.257479,0.0,0.0,2,0,,73.7738,320.0
20,0.455314,0.258659,73.6737,64.1642,73.6737,1,7.981534e-05,0.442973,0.253042,0.0,0.0,0,0,,73.7738,321.0
21,0.450278,0.255112,73.7738,67.4675,73.7738,1,7.757364e-05,0.442257,0.248455,0.0,0.0,0,0,,73.7738,319.7
22,0.441986,0.256251,74.0741,66.8669,74.0741,1,7.524972e-05,0.441378,0.243731,0.0,0.0,1,0,,74.0741,324.0
23,0.437083,0.250552,74.8749,68.0681,74.8749,1,7.285063e-05,0.440008,0.238882,0.0,0.0,1,0,,74.8749,321.1
24,0.4269,0.253527,74.0741,66.3664,74.0741,1,7.038366e-05,0.438878,0.233924,0.0,0.0,0,0,,74.8749,338.5
25,0.414766,0.251364,74.2743,68.5686,74.2743,1,6.785630e-05,0.437612,0.228869,0.0,0.0,0,0,,74.8749,328.8
26,0.403269,0.242192,75.0751,69.0691,75.0751,1,6.527624e-05,0.436075,0.223733,0.0,0.0,0,0,,75.0751,329.0
27,0.395607,0.240121,76.6767,71.972,76.6767,1,6.265130e-05,0.43532,0.218529,0.0,0.0,0,0,,76.6767,331.5
28,0.387566,0.242619,74.3744,70.5706,74.3744,1,5.998945e-05,0.434925,0.213273,0.0,0.0,1,0,,76.6767,330.2
29,0.379804,0.24491,75.6757,71.7718,75.6757,1,5.729879e-05,0.432938,0.207979,0.0,0.0,0,0,,76.6767,329.1
30,0.373908,0.243055,74.8749,70.5706,74.8749,1,5.458747e-05,0.432475,0.202662,0.0,0.0,1,0,,76.6767,327.6
31,0.366354,0.240817,74.8749,70.8709,74.8749,1,5.186374e-05,0.431726,0.197338,0.0,0.0,1,0,,76.6767,327.2
32,0.361234,0.244297,74.4745,70.3704,74.4745,1,4.913588e-05,0.430977,0.192021,0.0,0.0,1,0,,76.6767,327.9
33,0.353793,0.244076,75.4755,73.2733,75.4755,1,4.641215e-05,0.429735,0.186727,0.0,0.0,0,0,,76.6767,327.5
34,0.345706,0.24308,74.4745,72.5726,74.4745,1,4.370084e-05,0.430139,0.181471,0.0,0.0,1,0,,76.6767,329.6
35,0.339355,0.244812,74.8749,72.973,74.8749,1,4.101017e-05,0.428754,0.176267,0.0,0.0,0,0,,76.6767,327.0
36,0.333273,0.250338,75.2753,71.3714,75.2753,1,3.834833e-05,0.428256,0.171131,0.0,0.0,0,0,,76.6767,332.8
37,0.327198,0.250139,75.4755,72.6727,75.4755,1,3.572338e-05,0.427835,0.166076,0.0,0.0,0,0,,76.6767,327.6
38,0.322649,0.254318,75.8759,72.5726,75.8759,1,3.314332e-05,0.427528,0.161118,0.0,0.0,1,0,,76.6767,327.6
