epoch,train_loss,val_loss,val_acc,val_raw_acc,val_ema_acc,used_ema,lr,sr_loss,sr_weight,pos_loss,distill_loss,skipped_batches,nan_batches,weights_nonfinite,best_acc,epoch_seconds
1,3.114808,3.198694,0.0,0.0,0.0,1,8.000000e-05,0.475737,0.3,0.0,0.0,6,0,,0.0,357.7
2,2.11932,1.392073,4.8048,4.8048,0.0,0,1.400000e-04,0.490847,0.299858,0.0,0.0,2,0,,4.8048,320.5
3,1.145583,0.851463,28.5285,28.5285,17.5175,0,2.000000e-04,0.504266,0.299433,0.0,0.0,0,0,,28.5285,317.7
4,0.864539,0.550563,47.5475,38.2382,47.5475,1,1.998489e-04,0.49402,0.298727,0.0,0.0,0,0,,47.5475,312.8
5,0.735777,0.416368,59.96,50.3504,59.96,1,1.993961e-04,0.482741,0.29774,0.0,0.0,0,0,,59.96,320.7
6,0.67612,0.367857,63.8639,53.1532,63.8639,1,1.986429e-04,0.475,0.296477,0.0,0.0,0,0,,63.8639,334.8
7,0.633297,0.337545,67.2673,52.6527,67.2673,1,1.975917e-04,0.469496,0.29494,0.0,0.0,0,0,,67.2673,320.3
8,0.601009,0.320391,68.969,56.2563,68.969,1,1.962457e-04,0.465422,0.293134,0.0,0.0,1,0,,68.969,319.9
9,0.584477,0.303301,70.2703,56.0561,70.2703,1,1.946088e-04,0.46304,0.291063,0.0,0.0,0,0,,70.2703,318.4
10,0.565231,0.290937,71.1712,58.5586,71.1712,1,1.926862e-04,0.459723,0.288735,0.0,0.0,1,0,,71.1712,321.4
11,0.545608,0.279804,73.0731,62.4625,73.0731,1,1.904835e-04,0.456701,0.286155,0.0,0.0,0,0,,73.0731,318.5
12,0.536033,0.269523,73.3734,61.3614,73.3734,1,1.880076e-04,0.454481,0.283331,0.0,0.0,1,0,,73.3734,317.5
13,0.525037,0.257996,73.2733,63.7638,73.2733,1,1.852660e-04,0.453334,0.280271,0.0,0.0,0,0,,73.3734,315.3
14,0.517025,0.2557,73.1732,62.7628,73.1732,1,1.822669e-04,0.451333,0.276983,0.0,0.0,1,0,,73.3734,316.4
15,0.504338,0.253604,74.3744,64.7648,74.3744,1,1.790195e-04,0.450684,0.273477,0.0,0.0,0,0,,74.3744,317.0
16,0.497067,0.250078,74.3744,63.6637,74.3744,1,1.755336e-04,0.448653,0.269763,0.0,0.0,0,0,,74.3744,316.2
17,0.493704,0.247405,74.7748,66.2663,74.7748,1,1.718199e-04,0.447081,0.265851,0.0,0.0,1,0,,74.7748,324.0
18,0.493254,0.2457,74.7748,65.0651,74.7748,1,1.678895e-04,0.446683,0.261752,0.0,0.0,1,0,,74.7748,321.3
19,0.484041,0.250146,74.4745,67.0671,74.4745,1,1.637545e-04,0.445446,0.257479,0.0,0.0,1,0,,74.7748,321.3
20,0.477021,0.254636,74.6747,68.7688,74.6747,1,1.594274e-04,0.444797,0.253042,0.0,0.0,0,0,,74.7748,316.2
21,0.51363,0.249737,76.0761,8.4084,76.0761,1,7.747489e-05,0.443869,0.248455,0.0,0.0,3,0,,76.0761,319.0
22,0.413344,0.239995,76.0761,71.8719,76.0761,1,7.515396e-05,0.436009,0.243731,0.0,0.0,0,0,,76.0761,327.6
23,0.411493,0.237812,75.8759,72.0721,75.8759,1,7.275797e-05,0.434238,0.238882,0.0,0.0,0,0,,76.0761,317.7
24,0.408354,0.236634,76.4765,72.0721,76.4765,1,7.029418e-05,0.433381,0.233924,0.0,0.0,0,0,,76.4765,321.1
25,0.938612,0.287017,72.973,6.1061,72.973,1,3.390326e-05,0.440971,0.228869,0.0,0.0,6,0,,76.4765,326.9
26,1.237911,0.413347,61.0611,1.2012,61.0611,1,1.633604e-05,0.438454,0.223733,0.0,0.0,0,0,,76.4765,317.8
27,1.587501,0.747996,38.2382,1.6016,38.2382,1,7.875287e-06,0.437975,0.218529,0.0,0.0,1,0,,76.4765,314.0
28,1.844522,1.188679,12.8128,3.003,12.8128,1,7.578441e-06,0.437363,0.213273,0.0,0.0,0,0,,76.4765,313.9
29,2.292198,1.567652,3.9039,3.7037,3.9039,1,7.278381e-06,0.438135,0.207979,0.0,0.0,1,0,,76.4765,313.3
30,2.214666,1.460091,7.2072,7.2072,5.4054,0,6.976018e-06,0.440257,0.202662,0.0,0.0,0,0,,76.4765,312.2
31,2.130951,1.240285,13.7137,13.7137,10.3103,0,6.672271e-06,0.443613,0.197338,0.0,0.0,0,0,,76.4765,317.4
32,2.033019,1.089252,21.5215,21.5215,17.6176,0,6.368062e-06,0.444042,0.192021,0.0,0.0,0,0,,76.4765,311.1
33,1.964841,1.017199,23.3233,23.3233,22.022,0,6.064315e-06,0.444601,0.186727,0.0,0.0,1,0,,76.4765,315.3
34,1.862339,0.938837,30.1301,30.1301,26.6266,0,5.761952e-06,0.444442,0.181471,0.0,0.0,0,0,,76.4765,311.8
35,1.789179,0.902676,30.3303,30.3303,29.5295,0,5.461892e-06,0.444135,0.176267,0.0,0.0,1,0,,76.4765,316.2
36,1.71362,0.88077,31.2312,31.2312,31.031,0,5.165046e-06,0.444378,0.171131,0.0,0.0,1,0,,76.4765,313.2
