epoch,train_loss,val_loss,val_acc,val_raw_acc,val_ema_acc,used_ema,lr,sr_loss,sr_weight,pos_loss,distill_loss,skipped_batches,nan_batches,weights_nonfinite,best_acc,epoch_seconds
1,3.171889,3.423829,0.0,0.0,0.0,1,8.000000e-05,0.388369,0.1,0.0,0.0,4,0,,0.0,366.6
2,2.507933,1.901182,0.1001,0.1001,0.0,0,1.400000e-04,0.377965,0.1,0.0,0.0,1,0,,0.1001,342.0
3,1.266004,0.939333,21.1211,21.1211,0.0,0,2.000000e-04,0.427855,0.1,0.0,0.0,1,0,,21.1211,327.6
4,0.817922,0.684827,36.3363,36.3363,4.5045,0,1.998489e-04,0.428632,0.1,0.0,0.0,1,0,,36.3363,321.2
5,0.665719,0.562618,47.1471,47.1471,31.7317,0,1.993961e-04,0.40676,0.1,0.0,0.0,0,0,,47.1471,324.7
6,0.596345,0.52711,49.9499,48.5485,49.9499,1,1.986429e-04,0.392858,0.1,0.0,0.0,0,0,,49.9499,320.5
7,0.535458,0.415304,59.5596,46.8468,59.5596,1,1.975917e-04,0.380105,0.1,0.0,0.0,0,0,,59.5596,320.2
8,0.514164,0.364109,63.5636,52.953,63.5636,1,1.962457e-04,0.372157,0.1,0.0,0.0,0,0,,63.5636,323.4
9,0.500147,0.339045,66.0661,53.954,66.0661,1,1.946088e-04,0.367105,0.1,0.0,0.0,0,0,,66.0661,325.1
10,0.48875,0.323778,66.8669,58.0581,66.8669,1,1.926862e-04,0.362095,0.1,0.0,0.0,0,0,,66.8669,326.3
11,0.46325,0.308618,68.1682,58.6587,68.1682,1,1.904835e-04,0.357368,0.1,0.0,0.0,1,0,,68.1682,322.6
12,0.457842,0.295593,69.1692,59.0591,69.1692,1,1.880076e-04,0.352706,0.1,0.0,0.0,0,0,,69.1692,323.3
13,0.448443,0.291785,70.4705,62.2623,70.4705,1,1.852660e-04,0.349683,0.1,0.0,0.0,0,0,,70.4705,321.8
14,0.441028,0.285275,71.0711,56.7568,71.0711,1,1.822669e-04,0.348538,0.1,0.0,0.0,0,0,,71.0711,321.2
15,0.43339,0.281521,72.0721,64.1642,72.0721,1,1.790195e-04,0.343851,0.1,0.0,0.0,1,0,,72.0721,333.7
16,0.419855,0.271721,71.7718,59.96,71.7718,1,1.755336e-04,0.34175,0.1,0.0,0.0,0,0,,72.0721,323.1
17,0.425199,0.27114,73.0731,61.7618,73.0731,1,1.718199e-04,0.340656,0.1,0.0,0.0,0,0,,73.0731,332.9
18,0.412232,0.266128,73.2733,61.962,73.2733,1,1.678895e-04,0.339053,0.1,0.0,0.0,0,0,,73.2733,324.2
19,0.404676,0.257483,73.8739,60.8609,73.8739,1,1.637545e-04,0.335375,0.1,0.0,0.0,1,0,,73.8739,324.8
20,0.397709,0.25658,73.7738,63.4635,73.7738,1,1.594274e-04,0.335313,0.1,0.0,0.0,1,0,,73.8739,322.1
21,0.390693,0.255863,73.7738,66.8669,73.7738,1,1.549213e-04,0.332465,0.1,0.0,0.0,0,0,,73.8739,326.6
22,0.385132,0.253,73.7738,66.5666,73.7738,1,1.502500e-04,0.330934,0.1,0.0,0.0,0,0,,73.8739,322.2
23,0.384501,0.252385,73.8739,63.8639,73.8739,1,1.454276e-04,0.328901,0.1,0.0,0.0,0,0,,73.8739,325.4
24,0.388156,0.254617,73.4735,62.4625,73.4735,1,1.404687e-04,0.328944,0.1,0.0,0.0,2,0,,73.8739,332.2
25,0.384079,0.250979,73.6737,66.967,73.6737,1,1.353884e-04,0.328308,0.1,0.0,0.0,0,0,,73.8739,330.8
26,0.367815,0.246377,73.974,68.0681,73.974,1,1.302022e-04,0.324867,0.1,0.0,0.0,0,0,,73.974,335.4
27,0.364593,0.245835,74.975,68.1682,74.975,1,1.249258e-04,0.325533,0.1,0.0,0.0,0,0,,74.975,329.9
28,0.364706,0.243199,74.5746,66.6667,74.5746,1,1.195752e-04,0.324199,0.1,0.0,0.0,0,0,,74.975,330.3
29,0.357621,0.244971,74.2743,65.4655,74.2743,1,1.141667e-04,0.323271,0.1,0.0,0.0,0,0,,74.975,333.6
30,0.351174,0.241623,74.975,66.4665,74.975,1,1.087166e-04,0.322236,0.1,0.0,0.0,0,0,,74.975,326.8
31,0.344561,0.241018,74.5746,66.7668,74.5746,1,1.032417e-04,0.319094,0.1,0.0,0.0,1,0,,74.975,325.1
32,0.341736,0.241132,74.1742,69.4695,74.1742,1,9.775834e-05,0.320451,0.1,0.0,0.0,0,0,,74.975,322.6
33,0.33312,0.239791,75.1752,67.8679,75.1752,1,9.228336e-05,0.316481,0.1,0.0,0.0,0,0,,75.1752,327.1
34,0.323389,0.237228,76.1762,69.6697,76.1762,1,8.683332e-05,0.315618,0.1,0.0,0.0,1,0,,76.1762,331.0
35,0.325831,0.243197,75.7758,68.8689,75.7758,1,8.142479e-05,0.314483,0.1,0.0,0.0,0,0,,76.1762,330.1
36,0.321568,0.24544,75.5756,69.7698,75.5756,1,7.607419e-05,0.315703,0.1,0.0,0.0,0,0,,76.1762,335.7
37,0.31341,0.250062,75.7758,71.3714,75.7758,1,7.079778e-05,0.313283,0.1,0.0,0.0,1,0,,76.1762,329.6
38,0.31108,0.24864,75.5756,71.7718,75.5756,1,6.561156e-05,0.312566,0.1,0.0,0.0,0,0,,76.1762,334.1
39,0.304918,0.251507,76.0761,73.4735,76.0761,1,6.053131e-05,0.311002,0.1,0.0,0.0,1,0,,76.1762,329.9
40,0.302086,0.248848,76.0761,72.4725,76.0761,1,5.557243e-05,0.309978,0.1,0.0,0.0,0,0,,76.1762,327.2
41,0.299964,0.251641,75.8759,70.8709,75.8759,1,5.075000e-05,0.310339,0.1,0.0,0.0,0,0,,76.1762,323.3
42,0.293842,0.256251,75.4755,71.972,75.4755,1,4.607866e-05,0.30951,0.1,0.0,0.0,0,0,,76.1762,326.6
