epoch,train_loss,val_loss,val_acc,val_raw_acc,val_ema_acc,used_ema,lr,acc_greedy,acc_brazilian,acc_mercosur,sr_loss,sr_loss_bilinear,sr_beats_interp,sr_weight,grad_norm,pos_loss,distill_loss,skipped_batches,nan_batches,weights_nonfinite,best_acc,epoch_seconds
1,2.96591,3.395777,0.0,0.0,0.0,1,8.000000e-05,0.0,0.0,0.0,0.490845,0.285603,0,0.1,4.7013,0.0,0.0,2,0,,0.0,198.1
2,1.754071,1.150338,10.7107,10.7107,0.0,0,1.400000e-04,10.6106,2.381,12.9278,0.524117,0.250404,0,0.1,15.2067,0.0,0.0,2,0,,10.7107,188.0
3,1.024567,0.766143,29.3293,29.3293,0.2002,0,2.000000e-04,28.7287,16.1905,32.8264,0.535006,0.288938,0,0.1,20.0193,0.0,0.0,0,0,,29.3293,188.1
4,0.753973,0.64401,34.034,34.034,9.3093,0,1.998489e-04,33.033,17.619,38.403,0.505161,0.253344,0,0.1,13.1549,0.0,0.0,0,0,,34.034,185.2
5,0.612885,0.51786,47.5475,47.5475,36.1361,0,1.993961e-04,45.3453,26.1905,53.2319,0.445553,0.303727,0,0.1,9.0669,0.0,0.0,0,0,,47.5475,183.7
6,0.5355,0.448126,54.6547,47.6476,54.6547,1,1.986429e-04,53.4535,30.9524,60.9632,0.403037,0.31492,0,0.1,7.1938,0.0,0.0,0,0,,54.6547,189.6
7,0.491999,0.354619,62.4625,55.5556,62.4625,1,1.975917e-04,61.2613,38.5714,68.8213,0.378139,0.316186,0,0.1,6.1224,0.0,0.0,1,0,,62.4625,187.1
8,0.459781,0.312337,67.1672,53.7538,67.1672,1,1.962457e-04,65.8659,40.9524,74.1445,0.363312,0.285922,0,0.1,5.5339,0.0,0.0,0,0,,67.1672,188.4
9,0.437675,0.293324,68.1682,61.5616,68.1682,1,1.946088e-04,67.0671,42.8571,74.9049,0.353047,0.255631,0,0.1,5.0378,0.0,0.0,0,0,,68.1682,185.6
10,0.419023,0.282039,69.6697,61.8619,69.6697,1,1.926862e-04,68.969,42.381,76.9328,0.342669,0.317418,0,0.1,4.6527,0.0,0.0,0,0,,69.6697,185.2
11,0.407346,0.271556,71.7718,64.2643,71.7718,1,1.904835e-04,70.6707,47.1429,78.327,0.336058,0.241148,0,0.1,4.3235,0.0,0.0,0,0,,71.7718,185.1
12,0.393218,0.264635,72.5726,62.5626,72.5726,1,1.880076e-04,71.7718,50.9524,78.327,0.331114,0.224325,0,0.1,4.2311,0.0,0.0,0,0,,72.5726,192.3
13,0.381578,0.257096,72.6727,64.2643,72.6727,1,1.852660e-04,71.972,49.5238,78.834,0.326477,0.246335,0,0.1,3.9711,0.0,0.0,1,0,,72.6727,184.7
14,0.370447,0.24859,72.8729,62.4625,72.8729,1,1.822669e-04,72.2723,50.0,78.9607,0.321118,0.345938,1,0.1,3.7888,0.0,0.0,0,0,,72.8729,188.0
15,0.361248,0.248073,73.974,68.5686,73.974,1,1.790195e-04,73.2733,52.8571,79.5944,0.319995,0.278801,0,0.1,3.7615,0.0,0.0,0,0,,73.974,187.7
16,0.357368,0.248354,74.4745,65.7658,74.4745,1,1.755336e-04,73.974,54.2857,79.8479,0.316591,0.262533,0,0.1,3.6014,0.0,0.0,0,0,,74.4745,192.0
17,0.346503,0.245666,74.8749,66.0661,74.8749,1,1.718199e-04,74.4745,53.3333,80.6084,0.313256,0.300131,0,0.1,3.3462,0.0,0.0,0,0,,74.8749,184.1
18,0.340218,0.242294,76.0761,68.1682,76.0761,1,1.678895e-04,75.7758,56.1905,81.3688,0.313014,0.276499,0,0.1,3.2168,0.0,0.0,0,0,,76.0761,183.6
19,0.333563,0.240222,76.4765,67.3674,76.4765,1,1.637545e-04,76.0761,58.5714,81.2421,0.311617,0.276227,0,0.1,3.2873,0.0,0.0,0,0,,76.4765,185.4
20,0.324582,0.234271,76.5766,68.2683,76.5766,1,1.594274e-04,75.976,58.0952,81.4956,0.309231,0.303852,0,0.1,3.0924,0.0,0.0,1,0,,76.5766,187.5
21,0.31901,0.23514,76.7768,67.0671,76.7768,1,1.549213e-04,76.3764,57.619,81.8758,0.307371,0.300149,0,0.1,3.0533,0.0,0.0,0,0,,76.7768,184.4
22,0.313915,0.233423,76.2763,67.7678,76.2763,1,1.502500e-04,75.8759,55.2381,81.8758,0.304302,0.246878,0,0.1,2.9201,0.0,0.0,1,0,,76.7768,184.3
23,0.309607,0.231959,77.3774,72.0721,77.3774,1,1.454276e-04,77.0771,58.0952,82.5095,0.303842,0.295207,0,0.1,2.8109,0.0,0.0,0,0,,77.3774,185.1
24,0.302228,0.233314,76.977,71.5716,76.977,1,1.404687e-04,76.8769,54.7619,82.8897,0.302613,0.30212,0,0.1,2.8608,0.0,0.0,0,0,,77.3774,183.8
25,0.296776,0.236236,76.8769,71.3714,76.8769,1,1.353884e-04,76.7768,56.6667,82.256,0.300646,0.332719,1,0.1,2.6928,0.0,0.0,0,0,,77.3774,185.7
26,0.290666,0.236479,77.3774,69.7698,77.3774,1,1.302022e-04,77.2773,57.619,82.6362,0.299162,0.296076,0,0.1,2.6605,0.0,0.0,0,0,,77.3774,184.2
27,0.286721,0.236694,76.977,72.0721,76.977,1,1.249258e-04,76.7768,56.6667,82.3828,0.298918,0.28655,0,0.1,2.5463,0.0,0.0,1,0,,77.3774,183.9
28,0.282635,0.237399,77.3774,69.97,77.3774,1,1.195752e-04,77.2773,56.6667,82.8897,0.297951,0.289661,0,0.1,2.4848,0.0,0.0,0,0,,77.3774,183.9
29,0.275054,0.236341,77.4775,71.8719,77.4775,1,1.141667e-04,77.3774,58.5714,82.5095,0.295167,0.305444,1,0.1,2.392,0.0,0.0,0,0,,77.4775,186.1
30,0.271436,0.242854,76.5766,71.5716,76.5766,1,1.087166e-04,76.3764,56.1905,82.0025,0.294844,0.278257,0,0.1,2.4164,0.0,0.0,0,0,,77.4775,187.3
31,0.26653,0.246967,76.7768,72.2723,76.7768,1,1.032417e-04,76.7768,56.1905,82.256,0.294151,0.231182,0,0.1,2.2956,0.0,0.0,0,0,,77.4775,186.5
32,0.263846,0.249756,76.3764,72.1722,76.3764,1,9.775834e-05,76.1762,55.2381,82.0025,0.293659,0.298392,1,0.1,2.3245,0.0,0.0,0,0,,77.4775,184.3
33,0.259408,0.249918,76.7768,73.5736,76.7768,1,9.228336e-05,76.5766,54.2857,82.763,0.292136,0.279452,0,0.1,2.1957,0.0,0.0,0,0,,77.4775,186.5
34,0.253882,0.248328,77.3774,72.6727,77.3774,1,8.683332e-05,77.3774,55.7143,83.1432,0.291557,0.297822,1,0.1,2.1792,0.0,0.0,1,0,,77.4775,188.2
35,0.252573,0.250303,77.6777,74.2743,77.6777,1,8.142479e-05,77.4775,55.7143,83.5234,0.290611,0.277879,0,0.1,2.194,0.0,0.0,0,0,,77.6777,185.5
36,0.247393,0.250877,77.5776,73.5736,77.5776,1,7.607419e-05,77.4775,54.2857,83.7769,0.289462,0.262891,0,0.1,2.0284,0.0,0.0,0,0,,77.6777,185.0
37,0.244851,0.252453,77.6777,75.2753,77.6777,1,7.079778e-05,77.2773,56.6667,83.27,0.288819,0.216346,0,0.1,2.0624,0.0,0.0,0,0,,77.6777,183.8
38,0.241871,0.257634,77.8779,72.8729,77.8779,1,6.561156e-05,77.4775,58.0952,83.1432,0.287833,0.255691,0,0.1,1.9678,0.0,0.0,0,0,,77.8779,189.6
39,0.238669,0.263678,77.978,74.3744,77.978,1,6.053131e-05,77.5776,58.0952,83.27,0.287048,0.304606,1,0.1,1.9273,0.0,0.0,0,0,,77.978,183.5
40,0.236232,0.266639,77.8779,75.0751,77.8779,1,5.557243e-05,77.2773,57.1429,83.3967,0.286696,0.317565,1,0.1,1.8073,0.0,0.0,0,0,,77.978,184.6
41,0.233163,0.266721,77.8779,75.0751,77.8779,1,5.075000e-05,77.2773,57.1429,83.3967,0.286288,0.260758,0,0.1,1.7183,0.0,0.0,1,0,,77.978,183.7
42,0.232039,0.265777,78.0781,75.0751,78.0781,1,4.607866e-05,77.8779,56.1905,83.9037,0.284581,0.253949,0,0.1,1.7026,0.0,0.0,0,0,,78.0781,189.8
43,0.228422,0.26925,78.0781,74.975,78.0781,1,4.157259e-05,77.5776,56.6667,83.7769,0.283961,0.29963,1,0.1,1.5189,0.0,0.0,0,0,,78.0781,185.7
44,0.227275,0.275148,77.2773,74.6747,77.2773,1,3.724549e-05,76.6767,54.2857,83.3967,0.282759,0.294286,1,0.1,1.494,0.0,0.0,1,0,,78.0781,188.1
45,0.225728,0.279883,77.1772,75.2753,77.1772,1,3.311048e-05,76.8769,53.8095,83.3967,0.281988,0.307349,1,0.1,1.4651,0.0,0.0,0,0,,78.0781,186.5
46,0.223879,0.280891,76.8769,75.4755,76.8769,1,2.918014e-05,76.4765,54.2857,82.8897,0.282101,0.324213,1,0.1,1.3988,0.0,0.0,0,0,,78.0781,187.8
47,0.222542,0.284678,76.6767,74.8749,76.6767,1,2.546639e-05,76.3764,52.8571,83.0165,0.281271,0.211361,0,0.1,1.316,0.0,0.0,0,0,,78.0781,183.5
48,0.222394,0.287543,77.1772,75.2753,77.1772,1,2.198052e-05,76.8769,52.8571,83.6502,0.280309,0.334009,1,0.1,1.3328,0.0,0.0,1,0,,78.0781,183.6
49,0.220977,0.290639,76.5766,75.4755,76.5766,1,1.873311e-05,76.3764,52.381,83.0165,0.280158,0.269985,0,0.1,1.2883,0.0,0.0,0,0,,78.0781,188.1
50,0.219945,0.292252,76.4765,75.976,76.4765,1,1.573402e-05,76.2763,52.381,82.8897,0.279278,0.207122,0,0.1,1.2452,0.0,0.0,0,0,,78.0781,188.7
51,0.219708,0.295818,77.3774,77.3774,76.5766,0,1.299236e-05,76.977,54.7619,83.3967,0.279579,0.241939,0,0.1,1.1395,0.0,0.0,0,0,,78.0781,184.0
52,0.218521,0.290508,76.4765,76.2763,76.4765,1,1.051646e-05,76.1762,52.8571,82.763,0.278689,0.269782,0,0.1,1.1042,0.0,0.0,0,0,,78.0781,185.0
53,0.217568,0.292918,76.6767,75.6757,76.6767,1,8.313840e-06,76.4765,53.8095,82.763,0.278805,0.242834,0,0.1,1.0232,0.0,0.0,0,0,,78.0781,183.7
54,0.217684,0.296208,76.6767,76.5766,76.6767,1,6.391184e-06,76.3764,54.2857,82.6362,0.278973,0.237342,0,0.1,1.0243,0.0,0.0,0,0,,78.0781,184.8
