epoch,train_loss,val_loss,val_acc,val_raw_acc,val_ema_acc,used_ema,lr,sr_loss,sr_weight,pos_loss,distill_loss,skipped_batches,nan_batches,weights_nonfinite,best_acc,epoch_seconds
1,3.016221,3.218408,0.0,0.0,0.0,1,8.000000e-05,0.37529,0.1,0.0,0.0,7,0,,0.0,378.2
2,2.202105,1.463925,5.2052,5.2052,0.0,0,1.400000e-04,0.39497,0.1,0.0,0.0,1,0,,5.2052,317.9
3,1.021639,0.847188,26.3263,26.3263,16.7167,0,2.000000e-04,0.433401,0.1,0.0,0.0,0,0,,26.3263,316.7
4,0.733711,0.543842,47.5475,33.6336,47.5475,1,1.998489e-04,0.412285,0.1,0.0,0.0,0,0,,47.5475,316.3
5,0.618096,0.415998,59.1592,53.4535,59.1592,1,1.993961e-04,0.388802,0.1,0.0,0.0,1,0,,59.1592,327.9
6,0.554307,0.361067,64.3644,52.1522,64.3644,1,1.986429e-04,0.374774,0.1,0.0,0.0,0,0,,64.3644,323.4
7,0.521684,0.330244,67.8679,53.8539,67.8679,1,1.975917e-04,0.365387,0.1,0.0,0.0,0,0,,67.8679,322.5
8,0.495955,0.312273,70.3704,54.7548,70.3704,1,9.812626e-05,0.357641,0.1,0.0,0.0,0,0,,70.3704,331.1
9,0.424059,0.29441,71.7718,64.6647,71.7718,1,9.731199e-05,0.345407,0.1,0.0,0.0,1,0,,71.7718,320.4
10,0.410091,0.284336,71.3714,64.0641,71.3714,1,9.635556e-05,0.34025,0.1,0.0,0.0,0,0,,71.7718,322.8
11,0.404222,0.273613,72.2723,64.3644,72.2723,1,9.525985e-05,0.335306,0.1,0.0,0.0,1,0,,72.2723,325.8
12,0.392835,0.268644,73.1732,65.0651,73.1732,1,9.402819e-05,0.333981,0.1,0.0,0.0,1,0,,73.1732,320.7
13,0.388101,0.266367,73.3734,66.7668,73.3734,1,9.266434e-05,0.332828,0.1,0.0,0.0,0,0,,73.3734,318.0
14,0.385192,0.267342,73.6737,66.2663,73.6737,1,9.117242e-05,0.330443,0.1,0.0,0.0,0,0,,73.6737,323.6
15,0.377287,0.265246,74.5746,71.5716,74.5746,1,8.955698e-05,0.328698,0.1,0.0,0.0,1,0,,74.5746,325.2
16,0.368144,0.262113,73.974,70.0701,73.974,1,8.782291e-05,0.328093,0.1,0.0,0.0,1,0,,74.5746,321.1
17,0.364502,0.258028,74.6747,70.6707,74.6747,1,8.597548e-05,0.325651,0.1,0.0,0.0,1,0,,74.6747,318.9
18,0.360899,0.258137,75.1752,68.1682,75.1752,1,8.402030e-05,0.324568,0.1,0.0,0.0,0,0,,75.1752,321.5
19,0.363568,0.259444,75.0751,68.0681,75.0751,1,8.196332e-05,0.323117,0.1,0.0,0.0,0,0,,75.1752,322.6
20,0.364927,0.256948,74.5746,68.0681,74.5746,1,7.981077e-05,0.323396,0.1,0.0,0.0,1,0,,75.1752,323.5
21,0.363101,0.263759,73.3734,68.4685,73.3734,1,7.756920e-05,0.324967,0.1,0.0,0.0,2,0,,75.1752,326.3
22,0.355167,0.267082,73.974,67.2673,73.974,1,7.524541e-05,0.322773,0.1,0.0,0.0,0,0,,75.1752,326.2
23,0.349657,0.258558,73.8739,68.6687,73.8739,1,7.284646e-05,0.322715,0.1,0.0,0.0,1,0,,75.1752,324.8
24,0.342748,0.254331,75.4755,70.7708,75.4755,1,7.037963e-05,0.319331,0.1,0.0,0.0,0,0,,75.4755,321.5
25,0.337932,0.260903,75.1752,69.8699,75.1752,1,6.785242e-05,0.318705,0.1,0.0,0.0,0,0,,75.4755,328.0
26,0.328235,0.254808,75.5756,68.3684,75.5756,1,6.527251e-05,0.316524,0.1,0.0,0.0,0,0,,75.5756,333.1
27,0.323004,0.249204,75.3754,72.8729,75.3754,1,6.264772e-05,0.314937,0.1,0.0,0.0,0,0,,75.5756,332.4
28,0.314599,0.252267,75.2753,71.2713,75.2753,1,5.998603e-05,0.314963,0.1,0.0,0.0,1,0,,75.5756,345.6
29,0.309434,0.247411,76.2763,71.8719,76.2763,1,5.729552e-05,0.313382,0.1,0.0,0.0,0,0,,76.2763,335.9
30,0.306881,0.255647,75.4755,71.4715,75.4755,1,5.458436e-05,0.312426,0.1,0.0,0.0,0,0,,76.2763,344.1
31,0.301754,0.257913,75.8759,70.7708,75.8759,1,5.186079e-05,0.31115,0.1,0.0,0.0,0,0,,76.2763,332.1
32,0.297883,0.263629,74.975,72.2723,74.975,1,4.913308e-05,0.309957,0.1,0.0,0.0,0,0,,76.2763,331.8
33,0.291746,0.26461,74.5746,73.7738,74.5746,1,4.640951e-05,0.309057,0.1,0.0,0.0,1,0,,76.2763,331.2
34,0.28801,0.267079,74.7748,73.3734,74.7748,1,4.369836e-05,0.30871,0.1,0.0,0.0,1,0,,76.2763,331.3
35,0.285831,0.268046,74.5746,70.4705,74.5746,1,4.100785e-05,0.307988,0.1,0.0,0.0,0,0,,76.2763,330.5
36,0.281142,0.274263,74.6747,73.5736,74.6747,1,3.834616e-05,0.30669,0.1,0.0,0.0,1,0,,76.2763,337.8
37,0.277565,0.279726,74.8749,74.1742,74.8749,1,3.572137e-05,0.306095,0.1,0.0,0.0,0,0,,76.2763,332.0
38,0.273966,0.280855,74.8749,72.3724,74.8749,1,3.314145e-05,0.305697,0.1,0.0,0.0,0,0,,76.2763,332.4
39,0.270865,0.282684,74.975,73.2733,74.975,1,3.061424e-05,0.304818,0.1,0.0,0.0,1,0,,76.2763,337.3
40,0.268277,0.277959,75.8759,74.4745,75.8759,1,2.814742e-05,0.304155,0.1,0.0,0.0,0,0,,76.2763,330.8
