epoch,train_loss,val_loss,val_acc,val_raw_acc,val_ema_acc,used_ema,lr,sr_loss,sr_weight,pos_loss,distill_loss,skipped_batches,nan_batches,weights_nonfinite,best_acc,epoch_seconds
1,3.05559,3.257418,0.0,0.0,0.0,1,8.000000e-05,0.368062,0.1,0.0,0.0,5,0,,0.0,394.0
2,1.624822,0.955546,21.8218,21.8218,0.1001,0,1.400000e-04,0.41752,0.1,0.0,0.0,1,0,,21.8218,387.9
3,0.780285,0.698709,39.7397,39.7397,36.5365,0,2.000000e-04,0.431412,0.1,0.0,0.0,0,0,,39.7397,383.9
4,0.653721,0.423065,58.8589,45.4454,58.8589,1,1.998489e-04,0.406975,0.1,0.0,0.0,0,0,,58.8589,380.1
5,0.578474,0.361474,63.964,51.4515,63.964,1,1.993961e-04,0.385474,0.1,0.0,0.0,2,0,,63.964,379.7
6,0.503611,0.323829,67.3674,55.1552,67.3674,1,1.986429e-04,0.366627,0.1,0.0,0.0,0,0,,67.3674,380.3
7,0.474473,0.290723,70.8709,51.8519,70.8709,1,9.879853e-05,0.35502,0.1,0.0,0.0,0,0,,70.8709,395.6
8,0.409371,0.270696,71.5716,65.7658,71.5716,1,9.812890e-05,0.341873,0.1,0.0,0.0,1,0,,71.5716,386.7
9,0.399617,0.260858,71.5716,67.1672,71.5716,1,9.731461e-05,0.334945,0.1,0.0,0.0,0,0,,71.5716,382.3
10,0.38965,0.249836,73.3734,68.3684,73.3734,1,9.635815e-05,0.331304,0.1,0.0,0.0,0,0,,73.3734,386.0
11,0.380875,0.246284,74.2743,69.8699,74.2743,1,9.526241e-05,0.329002,0.1,0.0,0.0,1,0,,74.2743,384.0
12,0.373946,0.239675,74.8749,68.1682,74.8749,1,9.403072e-05,0.326742,0.1,0.0,0.0,0,0,,74.8749,390.4
13,0.366133,0.234688,74.6747,69.0691,74.6747,1,9.266683e-05,0.32558,0.1,0.0,0.0,1,0,,74.8749,382.6
14,0.359271,0.230953,75.4755,70.7708,75.4755,1,9.117487e-05,0.323772,0.1,0.0,0.0,1,0,,75.4755,392.3
15,0.353049,0.234453,75.0751,70.2703,75.0751,1,8.955938e-05,0.32112,0.1,0.0,0.0,0,0,,75.4755,390.5
16,0.348531,0.2326,74.8749,70.4705,74.8749,1,8.782527e-05,0.319275,0.1,0.0,0.0,1,0,,75.4755,387.6
17,0.343692,0.230068,75.0751,70.8709,75.0751,1,8.597779e-05,0.317874,0.1,0.0,0.0,0,0,,75.4755,384.9
